MP_ID,SCN_CD,GNDR_CD,ISSUE_AGE,TERM_Y,PROD_CD,CTR_POLNO,RSK_RT_CD_LIVES,RSK_RT_CD_BNFT,PV_MIRROR,BEL_ANNUAL,GAP_MIRROR_VS_ANNUAL_PCT
MP01,BASE,M,30,60,BD_BASE_30,MP01_BASE,R_BASE_30_LIV,"R_BASE_30_Q1,R_BASE_30_Q2,R_BASE_30_Q3",13819.733320835769,14420.199120296837,-4.164060388153001
MP05,BASE,F,30,60,BD_BASE_30,MP05_BASE,R_BASE_30_LIV,"R_BASE_30_Q1,R_BASE_30_Q2,R_BASE_30_Q3",9322.172252204231,9680.55000386142,-3.7020391559801524
MP02,BASE,M,40,50,BD_BASE_40,MP02_BASE,R_BASE_40_LIV,"R_BASE_40_Q1,R_BASE_40_Q2,R_BASE_40_Q3",27836.732311414107,29094.457812822617,-4.322904071627686
MP06,BASE,F,40,50,BD_BASE_40,MP06_BASE,R_BASE_40_LIV,"R_BASE_40_Q1,R_BASE_40_Q2,R_BASE_40_Q3",18493.135202197464,19220.68962151674,-3.7852669890928947
MP03,BASE,M,50,40,BD_BASE_50,MP03_BASE,R_BASE_50_LIV,"R_BASE_50_Q1,R_BASE_50_Q2,R_BASE_50_Q3",53662.10324595915,56215.043769309406,-4.541383146167776
MP07,BASE,F,50,40,BD_BASE_50,MP07_BASE,R_BASE_50_LIV,"R_BASE_50_Q1,R_BASE_50_Q2,R_BASE_50_Q3",34728.61315566034,36139.21346771523,-3.9032402111214615
MP04,BASE,M,60,30,BD_BASE_60,MP04_BASE,R_BASE_60_LIV,"R_BASE_60_Q1,R_BASE_60_Q2,R_BASE_60_Q3",95549.79317280313,100454.001307165,-4.882043592634955
MP08,BASE,F,60,30,BD_BASE_60,MP08_BASE,R_BASE_60_LIV,"R_BASE_60_Q1,R_BASE_60_Q2,R_BASE_60_Q3",60199.08607643561,62763.56895198738,-4.085941762670531
MP01,UP50,M,30,60,BD_UP50_30,MP01_UP50,R_UP50_30_LIV,"R_UP50_30_Q1,R_UP50_30_Q2,R_UP50_30_Q3",12092.92708640557,12606.89603938675,-4.076887374778259
MP05,UP50,F,30,60,BD_UP50_30,MP05_UP50,R_UP50_30_LIV,"R_UP50_30_Q1,R_UP50_30_Q2,R_UP50_30_Q3",8162.392317787619,8471.919237626897,-3.653563155613615
MP02,UP50,M,40,50,BD_UP50_40,MP02_UP50,R_UP50_40_LIV,"R_UP50_40_Q1,R_UP50_40_Q2,R_UP50_40_Q3",25219.75463033458,26335.094644017216,-4.235185135117847
MP06,UP50,F,40,50,BD_UP50_40,MP06_UP50,R_UP50_40_LIV,"R_UP50_40_Q1,R_UP50_40_Q2,R_UP50_40_Q3",16717.245683073204,17365.32465443423,-3.732029111218127
MP03,UP50,M,50,40,BD_UP50_50,MP03_UP50,R_UP50_50_LIV,"R_UP50_50_Q1,R_UP50_50_Q2,R_UP50_50_Q3",50088.61973780922,52424.40394916757,-4.455528409294285
MP07,UP50,F,50,40,BD_UP50_50,MP07_UP50,R_UP50_50_LIV,"R_UP50_50_Q1,R_UP50_50_Q2,R_UP50_50_Q3",32259.70548642347,33550.41261333962,-3.84706781937747
MP04,UP50,M,60,30,BD_UP50_60,MP04_UP50,R_UP50_60_LIV,"R_UP50_60_Q1,R_UP50_60_Q2,R_UP50_60_Q3",91415.94531758467,96029.55741885274,-4.8043667234087595
MP08,UP50,F,60,30,BD_UP50_60,MP08_UP50,R_UP50_60_LIV,"R_UP50_60_Q1,R_UP50_60_Q2,R_UP50_60_Q3",57228.26919449076,59632.63398681521,-4.03196141370522
MP01,DN50,M,30,60,BD_DN50_30,MP01_DN50,R_DN50_30_LIV,"R_DN50_30_Q1,R_DN50_30_Q2,R_DN50_30_Q3",15804.850826353379,16508.240931922966,-4.26084225733222
MP05,DN50,F,30,60,BD_DN50_30,MP05_DN50,R_DN50_30_LIV,"R_DN50_30_Q1,R_DN50_30_Q2,R_DN50_30_Q3",10683.282444704431,11100.236261770877,-3.756260742867523
MP02,DN50,M,40,50,BD_DN50_40,MP02_DN50,R_DN50_40_LIV,"R_DN50_40_Q1,R_DN50_40_Q2,R_DN50_40_Q3",30741.691797357333,32162.51218490823,-4.417628757922698
MP06,DN50,F,40,50,BD_DN50_40,MP06_DN50,R_DN50_40_LIV,"R_DN50_40_Q1,R_DN50_40_Q2,R_DN50_40_Q3",20505.18314899851,21324.647534622636,-3.84280389297712
MP03,DN50,M,50,40,BD_DN50_50,MP03_DN50,R_DN50_50_LIV,"R_DN50_50_Q1,R_DN50_50_Q2,R_DN50_50_Q3",57509.037849428816,60302.33806159766,-4.632159053792472
MP07,DN50,F,50,40,BD_DN50_50,MP07_DN50,R_DN50_50_LIV,"R_DN50_50_Q1,R_DN50_50_Q2,R_DN50_50_Q3",37438.20860109877,38982.93307827633,-3.962566064682227
MP04,DN50,M,60,30,BD_DN50_60,MP04_DN50,R_DN50_60_LIV,"R_DN50_60_Q1,R_DN50_60_Q2,R_DN50_60_Q3",99886.84014228127,105103.11885737974,-4.963010395701694
MP08,DN50,F,60,30,BD_DN50_60,MP08_DN50,R_DN50_60_LIV,"R_DN50_60_Q1,R_DN50_60_Q2,R_DN50_60_Q3",63368.14584213434,66106.33462366754,-4.142097420952561
MP01,ICS_T,M,30,60,BD_ICS_T_30,MP01_ICS_T,R_ICS_T_30_LIV,"R_ICS_T_30_Q1,R_ICS_T_30_Q2,R_ICS_T_30_Q3",18063.549482266553,18888.86767363436,-4.3693365088252945
MP05,ICS_T,F,30,60,BD_ICS_T_30,MP05_ICS_T,R_ICS_T_30_LIV,"R_ICS_T_30_Q1,R_ICS_T_30_Q2,R_ICS_T_30_Q3",12274.11453620166,12761.367286131072,-3.818186084644337
MP02,ICS_T,M,40,50,BD_ICS_T_40,MP02_ICS_T,R_ICS_T_40_LIV,"R_ICS_T_40_Q1,R_ICS_T_40_Q2,R_ICS_T_40_Q3",33943.68202350226,35550.77854143163,-4.520566310682694
MP06,ICS_T,F,40,50,BD_ICS_T_40,MP06_ICS_T,R_ICS_T_40_LIV,"R_ICS_T_40_Q1,R_ICS_T_40_Q2,R_ICS_T_40_Q3",22778.282564342004,23704.115051389395,-3.9057880247384547
MP03,ICS_T,M,50,40,BD_ICS_T_50,MP03_ICS_T,R_ICS_T_50_LIV,"R_ICS_T_50_Q1,R_ICS_T_50_Q2,R_ICS_T_50_Q3",61632.41141677472,64691.31427470962,-4.72845990567663
MP07,ICS_T,F,50,40,BD_ICS_T_50,MP07_ICS_T,R_ICS_T_50_LIV,"R_ICS_T_50_Q1,R_ICS_T_50_Q2,R_ICS_T_50_Q3",40406.62488306386,42101.47095727351,-4.025621992945705
MP04,ICS_T,M,60,30,BD_ICS_T_60,MP04_ICS_T,R_ICS_T_60_LIV,"R_ICS_T_60_Q1,R_ICS_T_60_Q2,R_ICS_T_60_Q3",104426.73713299955,109977.9002047525,-5.047525967869914
MP08,ICS_T,F,60,30,BD_ICS_T_60,MP08_ICS_T,R_ICS_T_60_LIV,"R_ICS_T_60_Q1,R_ICS_T_60_Q2,R_ICS_T_60_Q3",66745.50242112987,69672.19637594672,-4.200662684759626
MP01,ICS_C,M,30,60,BD_ICS_C_30,MP01_ICS_C,R_ICS_C_30_LIV,"R_ICS_C_30_Q1,R_ICS_C_30_Q2,R_ICS_C_30_Q3",20026.716732432655,20946.314563723805,-4.390260771141907
MP05,ICS_C,F,30,60,BD_ICS_C_30,MP05_ICS_C,R_ICS_C_30_LIV,"R_ICS_C_30_Q1,R_ICS_C_30_Q2,R_ICS_C_30_Q3",13697.312517775745,14243.0824608229,-3.83182463872096
MP02,ICS_C,M,40,50,BD_ICS_C_40,MP02_ICS_C,R_ICS_C_40_LIV,"R_ICS_C_40_Q1,R_ICS_C_40_Q2,R_ICS_C_40_Q3",37623.801799782836,39413.72942010806,-4.541381002661571
MP06,ICS_C,F,40,50,BD_ICS_C_40,MP06_ICS_C,R_ICS_C_40_LIV,"R_ICS_C_40_Q1,R_ICS_C_40_Q2,R_ICS_C_40_Q3",25411.085626234224,26447.770539068424,-3.9197440529167404
MP03,ICS_C,M,50,40,BD_ICS_C_50,MP03_ICS_C,R_ICS_C_50_LIV,"R_ICS_C_50_Q1,R_ICS_C_50_Q2,R_ICS_C_50_Q3",68255.63903902705,71659.65304444912,-4.750251865314814
MP07,ICS_C,F,50,40,BD_ICS_C_50,MP07_ICS_C,R_ICS_C_50_LIV,"R_ICS_C_50_Q1,R_ICS_C_50_Q2,R_ICS_C_50_Q3",45047.42529752817,46944.2386995295,-4.0405669674228655
MP04,ICS_C,M,60,30,BD_ICS_C_60,MP04_ICS_C,R_ICS_C_60_LIV,"R_ICS_C_60_Q1,R_ICS_C_60_Q2,R_ICS_C_60_Q3",115432.7811336581,121603.71096586269,-5.07462295615051
MP08,ICS_C,F,60,30,BD_ICS_C_60,MP08_ICS_C,R_ICS_C_60_LIV,"R_ICS_C_60_Q1,R_ICS_C_60_Q2,R_ICS_C_60_Q3",74334.65639459334,77608.87906167982,-4.2188763794465896
MP01,ESR_M,M,30,60,BD_ESR_M_30,MP01_ESR_M,R_ESR_M_30_LIV,"R_ESR_M_30_Q1,R_ESR_M_30_Q2,R_ESR_M_30_Q3",16342.390848779605,17056.089257828462,-4.1844199937056565
MP05,ESR_M,F,30,60,BD_ESR_M_30,MP05_ESR_M,R_ESR_M_30_LIV,"R_ESR_M_30_Q1,R_ESR_M_30_Q2,R_ESR_M_30_Q3",11098.529786063433,11526.639030885568,-3.714085638276854
MP02,ESR_M,M,40,50,BD_ESR_M_40,MP02_ESR_M,R_ESR_M_40_LIV,"R_ESR_M_40_Q1,R_ESR_M_40_Q2,R_ESR_M_40_Q3",32854.68172887019,34347.136308022564,-4.3452081878621485
MP06,ESR_M,F,40,50,BD_ESR_M_40,MP06_ESR_M,R_ESR_M_40_LIV,"R_ESR_M_40_Q1,R_ESR_M_40_Q2,R_ESR_M_40_Q3",21987.872310304414,22856.17492020023,-3.7989847948197597
MP03,ESR_M,M,50,40,BD_ESR_M_50,MP03_ESR_M,R_ESR_M_50_LIV,"R_ESR_M_50_Q1,R_ESR_M_50_Q2,R_ESR_M_50_Q3",63151.08440537703,66173.46090868097,-4.5673544375664505
MP07,ESR_M,F,50,40,BD_ESR_M_50,MP07_ESR_M,R_ESR_M_50_LIV,"R_ESR_M_50_Q1,R_ESR_M_50_Q2,R_ESR_M_50_Q3",41213.77628449602,42895.16510633933,-3.9197630261477157
