RSK_RT_CD,RSK_GRP,GNDR_CD,RSK_RT0,RSK_RT1,RSK_RT2,RSK_RT3,RSK_RT4,RSK_RT5,RSK_RT6,RSK_RT7,RSK_RT8,RSK_RT9,RSK_RT10,RSK_RT11,RSK_RT12,RSK_RT13,RSK_RT14,RSK_RT15,RSK_RT16,RSK_RT17,RSK_RT18,RSK_RT19,RSK_RT20,RSK_RT21,RSK_RT22,RSK_RT23,RSK_RT24,RSK_RT25,RSK_RT26,RSK_RT27,RSK_RT28,RSK_RT29,RSK_RT30,RSK_RT31,RSK_RT32,RSK_RT33,RSK_RT34,RSK_RT35,RSK_RT36,RSK_RT37,RSK_RT38,RSK_RT39,RSK_RT40,RSK_RT41,RSK_RT42,RSK_RT43,RSK_RT44,RSK_RT45,RSK_RT46,RSK_RT47,RSK_RT48,RSK_RT49,RSK_RT50,RSK_RT51,RSK_RT52,RSK_RT53,RSK_RT54,RSK_RT55,RSK_RT56,RSK_RT57,RSK_RT58,RSK_RT59,RSK_RT60,RSK_RT61,RSK_RT62,RSK_RT63,RSK_RT64,RSK_RT65,RSK_RT66,RSK_RT67,RSK_RT68,RSK_RT69,RSK_RT70,RSK_RT71,RSK_RT72,RSK_RT73,RSK_RT74,RSK_RT75,RSK_RT76,RSK_RT77,RSK_RT78,RSK_RT79,RSK_RT80,RSK_RT81,RSK_RT82,RSK_RT83,RSK_RT84,RSK_RT85,RSK_RT86,RSK_RT87,RSK_RT88,RSK_RT89,RSK_RT90,RSK_RT91,RSK_RT92,RSK_RT93,RSK_RT94,RSK_RT95,RSK_RT96,RSK_RT97,RSK_RT98,RSK_RT99,RSK_RT100,RSK_RT101,RSK_RT102,RSK_RT103,RSK_RT104,RSK_RT105,RSK_RT106,RSK_RT107,RSK_RT108,RSK_RT109,RSK_RT110,RSK_RT111,RSK_RT112,RSK_RT113,RSK_RT114,RSK_RT115,RSK_RT116,RSK_RT117,RSK_RT118,RSK_RT119,RSK_RT120
R_BASE_30_LIV,DECR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030779754269408006,0.0307760621311901,0.030771885982230546,0.030767229857179505,0.03076209929074619,0.031124684234976694,0.031115901731986296,0.031106374453491167,0.03109612016513822,0.031085158963486865,0.03163660222679645,0.031620236204528536,0.031604033842483246,0.031587993504058366,0.031572113569017755,0.0324280913510844,0.0324038104375736,0.032379772333198,0.032355974609865897,0.0323324148637672,0.0336845634730586,0.033647717838328,0.0336112406599447,0.0335751282533452,0.0335393769708117,0.0356992199181949,0.035642227719013,0.035585805441822896,0.0355299473874046,0.035474647913530596,0.038936029818052595,0.038846669519872,0.0387582028246733,0.038670620796426594,0.0385839145884624,0.0441383723339587,0.0439969886106191,0.0438570187245129,0.043718448537267696,0.0435812640518952,0.052470640045050296,0.052245933644599896,0.0520234743081539,0.0518032395650724,0.051585207169421596,0.0657725943471851,0.0654148684037131,0.065060719719676,0.0647101125224793,0.0643630113972545,0.0870608122932479,0.0864902041703154,0.0859253021286121,0.08536604910732609,0.0848123886162528,0.1210876709459013,0.1201767942364422,0.1192750262940778,0.11838227603113699,0.1174984532708256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BASE_30_LIV,DECR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030503240644749754,0.030507050107790604,0.03050980223868743,0.030511466192901345,0.030512019441944177,0.030728660749563916,0.030724914306374355,0.03072001662225614,0.03071398539322785,0.030706845539295518,0.03102318267605894,0.03101295084929822,0.031002821340805224,0.03099279312739722,0.030982865196123244,0.03146115642831226,0.031446544864029154,0.031432079415388864,0.03141775862123496,0.03140358103502263,0.032125238844658864,0.03210398645621227,0.032082946591650126,0.03206211712573362,0.032041495954476355,0.0331327991860082,0.0331014711941481,0.0330704564822066,0.0330397519173845,0.0330093543982106,0.0346732433777379,0.0346265109439605,0.0345802458345209,0.0345344433761757,0.0344890989424139,0.0370727085982488,0.0370019815122663,0.0369319616971436,0.0368626420801723,0.0367940156593705,0.0408783510511269,0.0407695675406155,0.0406618718652094,0.0405552531465573,0.0404497006150917,0.047008460831927903,0.0468383762236086,0.0466699924613725,0.0465032925367588,0.0463382596113913,0.0570196329607652,0.0567494366311575,0.056481942264846,0.0562171228421975,0.055954951613775596,0.0733796354245615,0.0729458390703158,0.07251638067961261,0.0720912168728165,0.07167030470408839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BASE_30_Q1,DIS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94871153458587e-05,6.863175405981371e-05,6.780673628180986e-05,6.701121212097294e-05,6.624436769312856e-05,0.0001132362020315,0.000111915945835,0.0001106729840703,0.0001095050405636,0.000108409990158,0.0001885330486769,0.0001866477181902,0.0001847812410083,0.0001829334285982,0.0001811040943122,0.000319687145476,0.0003164902740213,0.0003133253712811,0.0003101921175682,0.0003070901963926,0.0005455334652411,0.0005400781305887,0.0005346773492828,0.0005293305757899,0.000524037270032,0.0009308289307039,0.0009215206413968,0.0009123054349829,0.000903182380633,0.0008941505568267,0.0015764601926871,0.0015606955907602,0.0015450886348526,0.0015296377485041,0.0015143413710191,0.0026328593709037,0.0026065307771946,0.0025804654694227,0.0025546608147284,0.0025291142065812,0.0043137215417843,0.0042705843263665,0.0042278784831028,0.0041855996982718,0.0041437437012891,0.0069301266821444,0.0068608254153229,0.0067922171611697,0.006724294989558,0.0066570520396624,0.0109801204554594,0.0108703192509048,0.0107616160583957,0.0106539998978118,0.0105474598988337,0.017276749739935,0.0171039822425356,0.0169329424201103,0.0167636129959092,0.0165959768659501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BASE_30_Q1,DIS,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.201468886734403e-05,8.125102480046496e-05,8.048747683367564e-05,7.972417534818728e-05,7.896124944753525e-05,0.0001390578296989,0.0001376165795521,0.0001362069826454,0.0001348283684797,0.0001334800847949,0.000230990236092,0.000228680333731,0.0002263935303937,0.0002241295950898,0.0002218882991389,0.0003750138286459,0.0003712636903595,0.0003675510534559,0.0003638755429213,0.0003602367874921,0.0005897810052032,0.0005838831951512,0.0005780443631997,0.0005722639195677,0.000566541280372,0.0008985569516318,0.0008895713821155,0.0008806756682943,0.0008718689116114,0.0008631502224953,0.0013289161520486,0.0013156269905281,0.0013024707206228,0.0012894460134166,0.0012765515532824,0.001918651143229,0.0018994646317967,0.0018804699854787,0.001861665285624,0.0018430486327677,0.0027197470969463,0.0026925496259768,0.0026656241297171,0.0026389678884199,0.0026125782095357,0.0038071765797071,0.00376910481391,0.0037314137657709,0.0036940996281132,0.0036571586318321,0.0052933523782589,0.0052404188544763,0.0051880146659316,0.0051361345192722,0.0050847731740795,0.0073422910463929,0.0072688681359289,0.0071961794545696,0.0071242176600239,0.0070529754834237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BASE_30_Q2,DIS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.899375604987733e-05,4.835611759548147e-05,4.774500013330108e-05,4.715959791875707e-05,4.659914476507904e-05,8.037802360050798e-05,7.958141720116203e-05,7.879033818819454e-05,7.800477885091236e-05,7.722473106240323e-05,0.0001327641696205,0.0001314365279243,0.000130122162645,0.0001288209410186,0.0001275327316084,0.0002174227103933,0.0002152484832894,0.0002130959984565,0.0002109650384719,0.0002088553880872,0.0003527458601874,0.0003492184015855,0.0003457262175697,0.000342268955394,0.00033884626584,0.0005664322517769,0.0005607679292592,0.0005551602499666,0.0005496086474669,0.0005441125609922,0.0008989428008773,0.0008899533728685,0.0008810538391398,0.0008722433007484,0.000863520867741,0.0014132234876326,0.0013990912527563,0.0013851003402287,0.0013712493368264,0.0013575368434582,0.0022090093866626,0.002186919292796,0.0021650500998681,0.0021433995988694,0.0021219656028807,0.0034494322219344,0.003414937899715,0.0033807885207179,0.0033469806355107,0.0033135108291556,0.0054057407365301,0.0053516833291648,0.0052981664958732,0.0052451848309144,0.0051927329826053,0.0084889099997228,0.0084040208997256,0.0083199806907283,0.008236780883821,0.0081544130749828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BASE_30_Q2,DIS,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815574692703707e-05,1.8444385328720996e-05,1.8677903602046832e-05,1.8853913543549223e-05,1.897054748688915e-05,2.877767551451945e-05,2.871885266323639e-05,2.858398807785661e-05,2.837395250882741e-05,2.8090212983739136e-05,4.249763652724194e-05,4.207266016196953e-05,4.165193356034983e-05,4.1235414224746335e-05,4.082306008249887e-05,6.306646896978043e-05,6.243580428008263e-05,6.181144623728181e-05,6.119333177490899e-05,6.058139845715989e-05,9.679407086797956e-05,9.582613015929976e-05,9.486786885770678e-05,9.391919016912972e-05,9.297999826743842e-05,0.0001528030554808,0.0001512750249259,0.0001497622746767,0.0001482646519299,0.0001467820054106,0.0002480478755715,0.0002455673968157,0.0002431117228476,0.0002406806056191,0.0002382737995629,0.0004160630744648,0.0004119024437201,0.0004077834192829,0.0004037055850901,0.0003996685292392,0.0007182117395359,0.0007110296221405,0.0007039193259191,0.0006968801326599,0.0006899113313333,0.0012693815354433,0.0012566877200889,0.001244120842888,0.0012316796344591,0.0012193628381145,0.0022843696351586,0.002261525938807,0.0022389106794189,0.0022165215726247,0.0021943563568985,0.0041425997909699,0.0041011737930602,0.0040601620551296,0.0040195604345783,0.0039793648302325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BASE_30_Q3,DIS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962443379117205e-05,1.9368190998305278e-05,1.9122695932635983e-05,1.888762061737452e-05,1.866265330448151e-05,3.754500342918815e-05,3.722069300153632e-05,3.6882284649673695e-05,3.653020744491087e-05,3.616490537046176e-05,6.90656031710507e-05,6.837494713934018e-05,6.769119766794678e-05,6.701428569126731e-05,6.634414283435463e-05,0.0001186048389966,0.0001174187906066,0.0001162446027006,0.0001150821566736,0.0001139313351068,0.000193457963662,0.0001915233840254,0.0001896081501851,0.0001877120686833,0.0001858349479964,0.0003039078183662,0.0003008687401825,0.0002978600527807,0.0002948814522529,0.0002919326377304,0.0004647207465785,0.0004600735391127,0.0004554728037216,0.0004509180756844,0.0004464088949275,0.0006992210687729,0.0006922288580852,0.0006853065695043,0.0006784535038093,0.0006716689687712,0.0010422481116837,0.0010318256305669,0.0010215073742612,0.0010112923005186,0.0010011793775134,0.0015455223062535,0.001530067083191,0.001514766412359,0.0014996187482355,0.0014846225607531,0.0022911793216999,0.0022682675284829,0.002245584853198,0.0022231290046661,0.0022008977146194,0.0033989794749297,0.0033649896801804,0.0033313397833786,0.0032980263855448,0.0032650461216893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BASE_30_Q3,DIS,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05695539551735e-05,1.0507812341417167e-05,1.044096924240892e-05,1.03691239507102e-05,1.0292382979553218e-05,1.8275846607596172e-05,1.8115162408619294e-05,1.7948597575581667e-05,1.777633793422309e-05,1.759857455488086e-05,3.047110576499976e-05,3.0166394707349764e-05,2.9864730760276263e-05,2.9566083452673504e-05,2.927042261814677e-05,4.957385214047821e-05,4.907811361907343e-05,4.858733248288269e-05,4.810145915805386e-05,4.762044456647333e-05,7.863683963148727e-05,7.785047123517239e-05,7.707196652282068e-05,7.630124685759246e-05,7.553823438901654e-05,0.0001222652831205,0.0001210426302893,0.0001198322039864,0.0001186338819465,0.000117447543127,0.0001882363028506,0.0001863539398221,0.0001844904004239,0.0001826454964197,0.0001808190414555,0.000291441295307,0.000288526882354,0.0002856416135304,0.0002827851973951,0.0002799573454212,0.0004569108595868,0.0004523417509909,0.000447818333481,0.0004433401501462,0.0004389067486447,0.0007244493267461,0.0007172048334786,0.0007100327851438,0.0007029324572924,0.0006959031327195,0.0011605952281316,0.0011489892758503,0.0011374993830918,0.0011261243892609,0.0011148631453683,0.0018684737389982,0.0018497890016082,0.0018312911115921,0.0018129782004762,0.0017948484184715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BASE_40_LIV,DECR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03176088574919697,0.03175380447117118,0.03174547550167967,0.03173590226967009,0.03172509314879035,0.0326727141921243,0.0326519581653135,0.032629395538391996,0.032605065574572496,0.032579014918826796,0.0340741226245806,0.0340333813983349,0.0339930475843516,0.0339531171085079,0.0339135859374229,0.0363017833675435,0.036238765533868095,0.036176377878529495,0.0361146140997441,0.0360534679587467,0.0398808126177927,0.0397820044916148,0.0396841844466987,0.0395873426022317,0.039491469176209396,0.0456331850493842,0.0454768531988904,0.045322084666901394,0.0451688638202324,0.0450171751820301,0.0548464013894035,0.0545979373755095,0.0543519580017544,0.0541084384217368,0.053867354037519494,0.0695547361405154,0.0691591887791102,0.0687675968913191,0.0683799209224058,0.0679961217131817,0.0930937010695312,0.0924627640588359,0.0918381364182474,0.0912197550540651,0.0906075575035244,0.1307181294974411,0.1297109482024667,0.1287138387204419,0.12772670033323769,0.12674943332990518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BASE_40_LIV,DECR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031084890548350983,0.031084002451187323,0.03108190938194285,0.031078601777488543,0.031074076451436224,0.03160684653895793,0.03159511992249481,0.031582046460678526,0.03156765449074296,0.031551977945835474,0.03234993472713199,0.032326435379860526,0.03230317102606203,0.03228013931580131,0.03225733792264335,0.0334640217586993,0.0334293815411123,0.0333950877257011,0.033361136848444196,0.0333275254799597,0.035167333040841596,0.0351156597104332,0.0350645031133288,0.0350138580821956,0.0349637195013736,0.037820487373304,0.0377422824995709,0.0376648596745753,0.037588211077829496,0.0375123289670513,0.0420284903380254,0.0419082054346452,0.041789123380298804,0.0416712321464958,0.0415545198250309,0.048806720413783394,0.0486186532096457,0.0484324666775492,0.0482481420107736,0.0480656605906658,0.0598763472954748,0.0595775838225201,0.0592818079842949,0.058988989904451894,0.0586991000054074,0.0779660495528277,0.0774863890572995,0.0770115251667264,0.0765414099150591,0.0760759958159086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
