MP_ID,GNDR_CD,ISSUE_AGE,SCN_CD,BEL
MP01,M,30,BASE,14420.199120296837
MP01,M,30,UP50,12606.89603938675
MP01,M,30,DN50,16508.240931922966
MP01,M,30,ICS_T,18888.867673634362
MP01,M,30,ICS_C,20946.314563723805
MP01,M,30,ESR_M,17056.089257828462
MP02,M,40,BASE,29094.457812822617
MP02,M,40,UP50,26335.094644017216
MP02,M,40,DN50,32162.51218490823
MP02,M,40,ICS_T,35550.77854143163
MP02,M,40,ICS_C,39413.72942010806
MP02,M,40,ESR_M,34347.136308022564
MP03,M,50,BASE,56215.043769309406
MP03,M,50,UP50,52424.40394916757
MP03,M,50,DN50,60302.33806159766
MP03,M,50,ICS_T,64691.31427470962
MP03,M,50,ICS_C,71659.65304444912
MP03,M,50,ESR_M,66173.46090868097
MP04,M,60,BASE,100454.001307165
MP04,M,60,UP50,96029.55741885274
MP04,M,60,DN50,105103.11885737974
MP04,M,60,ICS_T,109977.9002047525
MP04,M,60,ICS_C,121603.71096586267
MP04,M,60,ESR_M,117735.63111832489
MP05,F,30,BASE,9680.55000386142
MP05,F,30,UP50,8471.919237626897
MP05,F,30,DN50,11100.236261770877
MP05,F,30,ICS_T,12761.367286131073
MP05,F,30,ICS_C,14243.082460822901
MP05,F,30,ESR_M,11526.639030885568
MP06,F,40,BASE,19220.68962151674
MP06,F,40,UP50,17365.32465443423
MP06,F,40,DN50,21324.647534622633
MP06,F,40,ICS_T,23704.115051389395
MP06,F,40,ICS_C,26447.770539068424
MP06,F,40,ESR_M,22856.17492020023
MP07,F,50,BASE,36139.21346771523
MP07,F,50,UP50,33550.41261333962
MP07,F,50,DN50,38982.93307827633
MP07,F,50,ICS_T,42101.47095727351
MP07,F,50,ICS_C,46944.2386995295
MP07,F,50,ESR_M,42895.16510633933
MP08,F,60,BASE,62763.56895198738
MP08,F,60,UP50,59632.63398681521
MP08,F,60,DN50,66106.33462366754
MP08,F,60,ICS_T,69672.19637594672
MP08,F,60,ICS_C,77608.87906167982
MP08,F,60,ESR_M,74313.98039304439
