disease_id,disease_norm,disease_is_recap,disease_raw,section,sex,age_code,age_label,age_low,age_high,age_is_recap,age_is_total,year,rate_per_100k,population_thousand,patients_estimated_thousand
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a00,0歳,0.0,0.0,False,False,2023,,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a01_04,1-4歳,1.0,4.0,False,False,2023,147.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a05_09,5-9歳,5.0,9.0,False,False,2023,414.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a10_14,10-14歳,10.0,14.0,False,False,2023,166.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a15_19,15-19歳,15.0,19.0,False,False,2023,106.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a20_24,20-24歳,20.0,24.0,False,False,2023,129.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a25_29,25-29歳,25.0,29.0,False,False,2023,150.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a30_34,30-34歳,30.0,34.0,False,False,2023,191.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a35_39,35-39歳,35.0,39.0,False,False,2023,202.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a40_44,40-44歳,40.0,44.0,False,False,2023,228.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a45_49,45-49歳,45.0,49.0,False,False,2023,199.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a50_54,50-54歳,50.0,54.0,False,False,2023,259.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a55_59,55-59歳,55.0,59.0,False,False,2023,196.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a60_64,60-64歳,60.0,64.0,False,False,2023,221.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a65_69,65-69歳,65.0,69.0,False,False,2023,207.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,r65p,65歳以上(再掲),65.0,,True,False,2023,171.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a70_74,70-74歳,70.0,74.0,False,False,2023,174.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,r70p,70歳以上(再掲),70.0,,True,False,2023,163.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a75_79,75-79歳,75.0,79.0,False,False,2023,229.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,r75p,75歳以上(再掲),75.0,,True,False,2023,158.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a80_84,80-84歳,80.0,84.0,False,False,2023,162.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a85_89,85-89歳,85.0,89.0,False,False,2023,113.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,a90p,90歳以上,90.0,,False,False,2023,64.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,female,total,総数,,,False,True,2023,192.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,male,a00,0歳,0.0,0.0,False,False,2023,,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,male,a01_04,1-4歳,1.0,4.0,False,False,2023,243.0,,
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,male,a05_09,5-9歳,5.0,9.0,False,False,2023,337.0,2478.0,8.35086
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,male,a10_14,10-14歳,10.0,14.0,False,False,2023,166.0,2689.0,4.46374
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,male,a15_19,15-19歳,15.0,19.0,False,False,2023,96.0,2818.0,2.70528
,う蝕,True,１１　消化器系の疾患(う蝕（再掲）),total,male,a20_24,20-24歳,20.0,24.0,False,False,2023,93.0,3212.0,2.98716
