section,sex,age_code,age_label,age_low,age_high,age_is_recap,age_is_total,year,rate_per_100k,population_thousand,patients_estimated_thousand
total,female,total,総数,,,False,True,1999,7241,,
total,female,total,総数,,,False,True,2002,6940,65183.0,4523.7002
total,female,total,総数,,,False,True,2005,7459,,
total,female,total,総数,,,False,True,2008,7181,65441.0,4699.31821
total,female,total,総数,,,False,True,2011,7643,65615.0,5014.95445
total,female,total,総数,,,False,True,2014,7387,65282.0,4822.38134
total,female,total,総数,,,False,True,2017,7456,65165.0,4858.7024
total,female,total,総数,,,False,True,2020,7316,,
total,female,total,総数,,,False,True,2023,7539,,
total,male,total,総数,,,False,True,1999,5861,61972.0,3632.17892
total,male,total,総数,,,False,True,2002,5471,62252.0,3405.80692
total,male,total,総数,,,False,True,2005,5895,62349.0,3675.47355
total,male,total,総数,,,False,True,2008,5716,62251.0,3558.26716
total,male,total,総数,,,False,True,2011,6018,62184.0,3742.23312
total,male,total,総数,,,False,True,2014,6043,61801.0,3734.63443
total,male,total,総数,,,False,True,2017,5925,61753.0,3658.86525
total,male,total,総数,,,False,True,2020,5882,61350.0,3608.607
total,male,total,総数,,,False,True,2023,6011,60492.0,3636.17412
total,total,a00,0歳,0,0.0,False,False,1999,7649,,
total,total,a00,0歳,0,0.0,False,False,2002,6574,,
total,total,a00,0歳,0,0.0,False,False,2005,7315,,
total,total,a00,0歳,0,0.0,False,False,2008,6867,,
total,total,a00,0歳,0,0.0,False,False,2011,8229,,
total,total,a00,0歳,0,0.0,False,False,2014,7753,,
total,total,a00,0歳,0,0.0,False,False,2017,8443,,
total,total,a00,0歳,0,0.0,False,False,2020,8361,,
total,total,a00,0歳,0,0.0,False,False,2023,7705,,
total,total,a01_04,1-4歳,1,4.0,False,False,1999,6003,,
total,total,a01_04,1-4歳,1,4.0,False,False,2002,5567,,
total,total,a01_04,1-4歳,1,4.0,False,False,2005,6679,,
total,total,a01_04,1-4歳,1,4.0,False,False,2008,6273,,
total,total,a01_04,1-4歳,1,4.0,False,False,2011,7184,,
total,total,a01_04,1-4歳,1,4.0,False,False,2014,6948,,
total,total,a01_04,1-4歳,1,4.0,False,False,2017,6686,,
total,total,a01_04,1-4歳,1,4.0,False,False,2020,6461,,
total,total,a01_04,1-4歳,1,4.0,False,False,2023,6444,,
total,total,a05_09,5-9歳,5,9.0,False,False,1999,3985,6030.0,240.2955
total,total,a05_09,5-9歳,5,9.0,False,False,2002,3448,5983.0,206.29384
total,total,a05_09,5-9歳,5,9.0,False,False,2005,4143,5950.0,246.5085
total,total,a05_09,5-9歳,5,9.0,False,False,2008,4193,5787.0,242.64891
total,total,a05_09,5-9歳,5,9.0,False,False,2011,4795,5490.0,263.2455
total,total,a05_09,5-9歳,5,9.0,False,False,2014,4514,5307.0,239.55798
total,total,a05_09,5-9歳,5,9.0,False,False,2017,4463,5267.0,235.06621
total,total,a05_09,5-9歳,5,9.0,False,False,2020,4887,5114.0,249.92118
total,total,a05_09,5-9歳,5,9.0,False,False,2023,5282,4838.0,255.54316
total,total,a10_14,10-14歳,10,14.0,False,False,1999,2388,6761.0,161.45268
total,total,a10_14,10-14歳,10,14.0,False,False,2002,2033,6244.0,126.94052
total,total,a10_14,10-14歳,10,14.0,False,False,2005,2499,6036.0,150.83964
total,total,a10_14,10-14歳,10,14.0,False,False,2008,2372,5984.0,141.94048
total,total,a10_14,10-14歳,10,14.0,False,False,2011,3014,5912.0,178.18768
total,total,a10_14,10-14歳,10,14.0,False,False,2014,2741,5713.0,156.59333
total,total,a10_14,10-14歳,10,14.0,False,False,2017,2858,5448.0,155.70384
total,total,a10_14,10-14歳,10,14.0,False,False,2020,3412,5376.0,183.42912
total,total,a10_14,10-14歳,10,14.0,False,False,2023,3767,5248.0,197.69216
total,total,a15_19,15-19歳,15,19.0,False,False,1999,2100,7655.0,160.755
total,total,a15_19,15-19歳,15,19.0,False,False,2002,1859,7194.0,133.73646
total,total,a15_19,15-19歳,15,19.0,False,False,2005,2042,6593.0,134.62906
total,total,a15_19,15-19歳,15,19.0,False,False,2008,2037,6155.0,125.37735
total,total,a15_19,15-19歳,15,19.0,False,False,2011,2142,6075.0,130.1265
total,total,a15_19,15-19歳,15,19.0,False,False,2014,2054,6005.0,123.3427
total,total,a15_19,15-19歳,15,19.0,False,False,2017,2037,5983.0,121.87371
total,total,a15_19,15-19歳,15,19.0,False,False,2020,2301,5706.0,131.29506
total,total,a15_19,15-19歳,15,19.0,False,False,2023,2574,5494.0,141.41556
total,total,a20_24,20-24歳,20,24.0,False,False,1999,2553,8890.0,226.9617
total,total,a20_24,20-24歳,20,24.0,False,False,2002,2417,8012.0,193.65004
total,total,a20_24,20-24歳,20,24.0,False,False,2005,2527,7381.0,186.51787
total,total,a20_24,20-24歳,20,24.0,False,False,2008,2315,7105.0,164.48075
