disease_id,disease_norm,disease_is_recap,disease_raw,section,year,rate_per_100k,patients_thousand,patients_estimated_thousand,population_total_thousand
,う蝕,True,　う蝕（再掲）,total,1996,250.0,314.4,314.66,125864.0
,う蝕,True,　う蝕（再掲）,total,1999,233.0,295.3,295.17838,126686.0
,う蝕,True,　う蝕（再掲）,total,2002,209.0,266.8,266.33915,127435.0
,う蝕,True,　う蝕（再掲）,total,2005,247.0,315.3,315.58696,127768.0
,う蝕,True,　う蝕（再掲）,total,2008,220.0,280.7,280.9224,127692.0
,う蝕,True,　う蝕（再掲）,total,2011,250.0,314.4,319.4975,127799.0
,う蝕,True,　う蝕（再掲）,total,2014,223.0,283.6,283.39509,127083.0
,う蝕,True,　う蝕（再掲）,total,2017,219.0,277.1,277.95261,126919.0
,う蝕,True,　う蝕（再掲）,total,2020,231.0,291.3,291.39726,126146.0
,う蝕,True,　う蝕（再掲）,total,2023,179.0,222.6,222.59008,124352.0
,う蝕,True,　う蝕（再掲）,inpatient,1996,0.0,0.1,0.0,125864.0
,う蝕,True,　う蝕（再掲）,inpatient,1999,0.0,0.2,0.0,126686.0
,う蝕,True,　う蝕（再掲）,inpatient,2002,0.0,0.2,0.0,127435.0
,う蝕,True,　う蝕（再掲）,inpatient,2005,0.0,0.1,0.0,127768.0
,う蝕,True,　う蝕（再掲）,inpatient,2008,0.0,0.1,0.0,127692.0
,う蝕,True,　う蝕（再掲）,inpatient,2011,0.0,0.1,0.0,127799.0
,う蝕,True,　う蝕（再掲）,inpatient,2014,0.0,0.1,0.0,127083.0
,う蝕,True,　う蝕（再掲）,inpatient,2017,0.0,0.0,0.0,126919.0
,う蝕,True,　う蝕（再掲）,inpatient,2020,0.0,0.0,0.0,126146.0
,う蝕,True,　う蝕（再掲）,inpatient,2023,0.0,0.0,0.0,124352.0
,う蝕,True,　う蝕（再掲）,outpatient,1996,250.0,314.3,314.66,125864.0
,う蝕,True,　う蝕（再掲）,outpatient,1999,233.0,295.2,295.17838,126686.0
,う蝕,True,　う蝕（再掲）,outpatient,2002,209.0,266.6,266.33915,127435.0
,う蝕,True,　う蝕（再掲）,outpatient,2005,247.0,315.1,315.58696,127768.0
,う蝕,True,　う蝕（再掲）,outpatient,2008,220.0,280.5,280.9224,127692.0
,う蝕,True,　う蝕（再掲）,outpatient,2011,250.0,314.3,319.4975,127799.0
,う蝕,True,　う蝕（再掲）,outpatient,2014,223.0,283.6,283.39509,127083.0
,う蝕,True,　う蝕（再掲）,outpatient,2017,219.0,277.1,277.95261,126919.0
,う蝕,True,　う蝕（再掲）,outpatient,2020,231.0,291.3,291.39726,126146.0
,う蝕,True,　う蝕（再掲）,outpatient,2023,179.0,222.6,222.59008,124352.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,total,1996,62.0,78.6,78.03568,125864.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,total,1999,55.0,69.5,69.6773,126686.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,total,2002,59.0,75.2,75.18665,127435.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,total,2005,54.0,69.1,68.99472,127768.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,total,2008,62.0,79.4,79.16904,127692.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,total,2011,57.0,71.7,72.84543,127799.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,total,2014,64.0,81.8,81.33312,127083.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,total,2017,74.0,94.2,93.92006,126919.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,total,2020,72.0,90.6,90.82512,126146.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,total,2023,86.0,106.4,106.94272,124352.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,inpatient,1996,3.0,3.3,3.77592,125864.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,inpatient,1999,2.0,2.9,2.53372,126686.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,inpatient,2002,2.0,2.8,2.5487,127435.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,inpatient,2005,2.0,2.5,2.55536,127768.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,inpatient,2008,2.0,2.3,2.55384,127692.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,inpatient,2011,2.0,2.3,2.55598,127799.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,inpatient,2014,2.0,2.2,2.54166,127083.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,inpatient,2017,2.0,2.4,2.53838,126919.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,inpatient,2020,2.0,2.2,2.52292,126146.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,inpatient,2023,2.0,2.3,2.48704,124352.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,outpatient,1996,60.0,75.3,75.5184,125864.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,outpatient,1999,53.0,66.6,67.14358,126686.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,outpatient,2002,57.0,72.4,72.63795,127435.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,outpatient,2005,52.0,66.7,66.43936,127768.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,outpatient,2008,60.0,77.1,76.6152,127692.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,outpatient,2011,55.0,69.5,70.28945,127799.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,outpatient,2014,63.0,79.6,80.06229,127083.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,outpatient,2017,72.0,91.8,91.38168,126919.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,outpatient,2020,70.0,88.4,88.3022,126146.0
,乳房及び女性生殖器の疾患,True,　乳房及び女性生殖器の疾患（再掲）,outpatient,2023,84.0,104.1,104.45568,124352.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,total,1996,365.0,459.4,459.4036,125864.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,total,1999,335.0,424.5,424.3981,126686.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,total,2002,349.0,444.7,444.74815,127435.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,total,2005,413.0,527.1,527.68184,127768.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,total,2008,472.0,603.1,602.70624,127692.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,total,2011,601.0,754.8,768.07199,127799.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,total,2014,583.0,741.4,740.89389,127083.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,total,2017,562.0,712.2,713.28478,126919.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,total,2020,802.0,1011.4,1011.69092,126146.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,total,2023,808.0,1004.7,1004.76416,124352.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,inpatient,1996,14.0,17.6,17.62096,125864.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,inpatient,1999,12.0,15.8,15.20232,126686.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,inpatient,2002,8.0,10.4,10.1948,127435.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,inpatient,2005,8.0,9.8,10.22144,127768.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,inpatient,2008,8.0,9.9,10.21536,127692.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,inpatient,2011,7.0,8.3,8.94593,127799.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,inpatient,2014,8.0,9.7,10.16664,127083.0
,健康状態に影響を及ぼす要因及び保健サービスの利用,False,健康状態に影響を及ぼす要因及び保健サービスの利用,inpatient,2017,10.0,12.1,12.6919,126919.0
