year,source_file,indicator_type,disease,value
2023,z0074,discharge_count,総数,10076.399999999998
2023,z0074,discharge_count,Ⅰ　感染症及び寄生虫症,181.00000000000006
2023,z0074,discharge_count,腸管感染症（再掲）,58.00000000000005
2023,z0074,discharge_count,結核（再掲）,6.1
2023,z0074,discharge_count,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,18.999999999999993
2023,z0074,discharge_count,真菌症（再掲）,6.000000000000001
2023,z0074,discharge_count,Ⅱ　新生物＜腫瘍＞,1885.3000000000002
2023,z0074,discharge_count,（悪性新生物＜腫瘍＞）（再掲）,1652.3
2023,z0074,discharge_count,胃の悪性新生物＜腫瘍＞（再掲）,135.3
2023,z0074,discharge_count,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,253.50000000000003
2023,z0074,discharge_count,気管，気管支及び肺の悪性新生物＜腫瘍＞（再掲）,242.30000000000004
2023,z0074,discharge_count,Ⅲ　血液及び造血器の疾患並びに免疫機構の障害,63.60000000000004
2023,z0074,discharge_count,Ⅳ　内分泌，栄養及び代謝疾患,283.2000000000001
2023,z0074,discharge_count,甲状腺障害（再掲）,7.099999999999996
2023,z0074,discharge_count,糖尿病（再掲）,87.49999999999996
2023,z0074,discharge_count,Ⅴ　精神及び行動の障害,176.50000000000006
2023,z0074,discharge_count,統合失調症，統合失調症型障害及び妄想性障害（再掲）,53.3
2023,z0074,discharge_count,気分［感情］障害（躁うつ病を含む）（再掲）,42.60000000000001
2023,z0074,discharge_count,神経症性障害，ストレス関連障害及び身体表現性障害（再掲）,14.399999999999988
2023,z0074,discharge_count,Ⅵ　神経系の疾患,316.4999999999998
2023,z0074,discharge_count,Ⅶ　眼及び付属器の疾患,506.80000000000024
2023,z0074,discharge_count,白内障（再掲）,379.5999999999999
2023,z0074,discharge_count,Ⅷ　耳及び乳様突起の疾患,60.50000000000002
2023,z0074,discharge_count,Ⅸ　循環器系の疾患,1366.8000000000006
2023,z0074,discharge_count,高血圧性疾患（再掲）,19.9
2023,z0074,discharge_count,（心疾患（高血圧性のものを除く））（再掲）,745.5000000000001
2023,z0074,discharge_count,虚血性心疾患（再掲）,264.2
2023,z0074,discharge_count,脳血管疾患（再掲）,438.0
2023,z0074,discharge_count,Ⅹ　呼吸器系の疾患,804.2000000000003
2023,z0074,discharge_count,急性上気道感染症（再掲）,19.599999999999994
2023,z0074,discharge_count,肺炎（再掲）,285.09999999999997
2023,z0074,discharge_count,急性気管支炎及び急性細気管支炎（再掲）,21.89999999999999
2023,z0074,discharge_count,気管支炎及び慢性閉塞性肺疾患（再掲）,35.30000000000001
2023,z0074,discharge_count,喘息（再掲）,30.400000000000013
2023,z0074,discharge_count,ⅩⅠ　消化器系の疾患,1204.3999999999999
2023,z0074,discharge_count,う蝕（再掲）,3.0000000000000004
2023,z0074,discharge_count,歯肉炎及び歯周疾患（再掲）,4.699999999999999
2023,z0074,discharge_count,胃潰瘍及び十二指腸潰瘍（再掲）,33.0
2023,z0074,discharge_count,胃炎及び十二指腸炎（再掲）,7.699999999999998
2023,z0074,discharge_count,肝疾患（再掲）,58.4
2023,z0074,discharge_count,ⅩⅡ　皮膚及び皮下組織の疾患,101.99999999999997
2023,z0074,discharge_count,ⅩⅢ　筋骨格系及び結合組織の疾患,593.8000000000002
2023,z0074,discharge_count,炎症性多発性関節障害（再掲）,41.90000000000001
2023,z0074,discharge_count,関節症（再掲）,144.09999999999997
2023,z0074,discharge_count,脊柱障害（再掲）,216.69999999999996
2023,z0074,discharge_count,骨の密度及び構造の障害（再掲）,13.999999999999996
2023,z0074,discharge_count,ⅩⅣ　腎尿路生殖器系の疾患,583.0999999999999
2023,z0074,discharge_count,糸球体疾患，腎尿細管間質性疾患及び腎不全（再掲）,274.9
2023,z0074,discharge_count,前立腺肥大（症）（再掲）,30.800000000000004
2023,z0074,discharge_count,乳房及び女性生殖器の疾患（再掲）,58.2
2023,z0074,discharge_count,ⅩⅤ　妊娠，分娩及び産じょく,238.60000000000002
2023,z0074,discharge_count,妊娠高血圧症候群（再掲）,5.8
2023,z0074,discharge_count,ⅩⅥ　周産期に発生した病態,63.500000000000014
2023,z0074,discharge_count,ⅩⅦ　先天奇形，変形及び染色体異常,41.30000000000003
2023,z0074,discharge_count,ⅩⅧ　症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,101.3
2023,z0074,discharge_count,ⅩⅨ　損傷，中毒及びその他の外因の影響,1081.8999999999999
2023,z0074,discharge_count,骨折（再掲）,696.1000000000001
2023,z0074,discharge_count,ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用,59.800000000000004
2023,z0074,discharge_count,ⅩⅩⅡ　特殊目的用コード,362.7
2023,z0074,discharge_count,総数,9544.700000000006
2023,z0074,discharge_count,Ⅰ　感染症及び寄生虫症,176.50000000000003
2023,z0074,discharge_count,腸管感染症（再掲）,56.100000000000044
2023,z0074,discharge_count,結核（再掲）,6.1
2023,z0074,discharge_count,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,17.999999999999993
2023,z0074,discharge_count,真菌症（再掲）,5.900000000000001
2023,z0074,discharge_count,Ⅱ　新生物＜腫瘍＞,1866.1000000000004
