section,category,year,rate_per_100k
Total,Ⅱ　新生物＜腫瘍＞,2014,296.0
Inpatient,Ⅱ　新生物＜腫瘍＞,2014,114.0
Outpatient,Ⅱ　新生物＜腫瘍＞,2014,182.0
Total,Ⅱ　新生物＜腫瘍＞,2017,309.0
Inpatient,Ⅱ　新生物＜腫瘍＞,2017,112.0
Outpatient,Ⅱ　新生物＜腫瘍＞,2017,197.0
Total,Ⅱ　新生物＜腫瘍＞,2020,296.0
Inpatient,Ⅱ　新生物＜腫瘍＞,2020,100.0
Outpatient,Ⅱ　新生物＜腫瘍＞,2020,196.0
Total,Ⅱ　新生物＜腫瘍＞,2023,303.0
Inpatient,Ⅱ　新生物＜腫瘍＞,2023,96.0
Outpatient,Ⅱ　新生物＜腫瘍＞,2023,208.0
Total,（悪性新生物＜腫瘍＞）（再掲）,2014,237.0
Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2014,102.0
Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2014,135.0
Total,（悪性新生物＜腫瘍＞）（再掲）,2017,244.0
Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2017,100.0
Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2017,145.0
Total,（悪性新生物＜腫瘍＞）（再掲）,2020,234.0
Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2020,89.0
Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2020,144.0
Total,（悪性新生物＜腫瘍＞）（再掲）,2023,235.0
Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2023,85.0
Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2023,150.0
Total,胃の悪性新生物＜腫瘍＞（再掲）,2014,26.0
Inpatient,胃の悪性新生物＜腫瘍＞（再掲）,2014,11.0
Outpatient,胃の悪性新生物＜腫瘍＞（再掲）,2014,15.0
Total,胃の悪性新生物＜腫瘍＞（再掲）,2017,26.0
Inpatient,胃の悪性新生物＜腫瘍＞（再掲）,2017,10.0
Outpatient,胃の悪性新生物＜腫瘍＞（再掲）,2017,16.0
Total,胃の悪性新生物＜腫瘍＞（再掲）,2020,21.0
Inpatient,胃の悪性新生物＜腫瘍＞（再掲）,2020,8.0
Outpatient,胃の悪性新生物＜腫瘍＞（再掲）,2020,13.0
Total,胃の悪性新生物＜腫瘍＞（再掲）,2023,19.0
Inpatient,胃の悪性新生物＜腫瘍＞（再掲）,2023,7.0
Outpatient,胃の悪性新生物＜腫瘍＞（再掲）,2023,12.0
Total,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2014,37.0
Inpatient,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2014,15.0
Outpatient,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2014,22.0
Total,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2017,38.0
Inpatient,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2017,15.0
Outpatient,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2017,23.0
Total,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2020,35.0
Inpatient,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2020,14.0
Outpatient,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2020,21.0
Total,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2023,35.0
Inpatient,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2023,13.0
Outpatient,結腸及び直腸の悪性新生物＜腫瘍＞（再掲）,2023,23.0
Total,気管，気管支及び肺の悪性新生物＜腫瘍＞（再掲）,2014,27.0
