disease_norm,sex,age_code,age_low,age_high,age_is_recap,age_is_total,facility,los_days
総数,total,total,,,False,True,総数,35.6
総数,total,total,,,False,True,病院,37.4
総数,total,total,,,False,True,一般診療所,18.5
総数,male,total,,,False,True,総数,34.3
総数,male,total,,,False,True,病院,35.5
総数,male,total,,,False,True,一般診療所,17.3
総数,female,total,,,False,True,総数,36.7
総数,female,total,,,False,True,病院,39.2
総数,female,total,,,False,True,一般診療所,19.1
感染症及び寄生虫症,total,total,,,False,True,総数,22.7
感染症及び寄生虫症,total,total,,,False,True,病院,23.1
感染症及び寄生虫症,total,total,,,False,True,一般診療所,13.2
感染症及び寄生虫症,male,total,,,False,True,総数,23.7
感染症及び寄生虫症,male,total,,,False,True,病院,24.0
感染症及び寄生虫症,male,total,,,False,True,一般診療所,18.0
感染症及び寄生虫症,female,total,,,False,True,総数,21.6
感染症及び寄生虫症,female,total,,,False,True,病院,22.3
感染症及び寄生虫症,female,total,,,False,True,一般診療所,10.0
腸管感染症,total,total,,,False,True,総数,10.2
腸管感染症,total,total,,,False,True,病院,10.3
腸管感染症,total,total,,,False,True,一般診療所,7.8
腸管感染症,male,total,,,False,True,総数,10.4
腸管感染症,male,total,,,False,True,病院,10.6
腸管感染症,male,total,,,False,True,一般診療所,6.6
腸管感染症,female,total,,,False,True,総数,10.0
腸管感染症,female,total,,,False,True,病院,10.1
腸管感染症,female,total,,,False,True,一般診療所,8.4
結核,total,total,,,False,True,総数,60.3
結核,total,total,,,False,True,病院,60.3
結核,male,total,,,False,True,総数,64.8
結核,male,total,,,False,True,病院,64.8
結核,female,total,,,False,True,総数,52.4
結核,female,total,,,False,True,病院,52.4
皮膚及び粘膜の病変を伴うウイルス疾患,total,total,,,False,True,総数,11.3
皮膚及び粘膜の病変を伴うウイルス疾患,total,total,,,False,True,病院,11.3
皮膚及び粘膜の病変を伴うウイルス疾患,total,total,,,False,True,一般診療所,12.0
皮膚及び粘膜の病変を伴うウイルス疾患,male,total,,,False,True,総数,10.2
皮膚及び粘膜の病変を伴うウイルス疾患,male,total,,,False,True,病院,10.1
皮膚及び粘膜の病変を伴うウイルス疾患,male,total,,,False,True,一般診療所,10.9
皮膚及び粘膜の病変を伴うウイルス疾患,female,total,,,False,True,総数,12.2
皮膚及び粘膜の病変を伴うウイルス疾患,female,total,,,False,True,病院,12.2
皮膚及び粘膜の病変を伴うウイルス疾患,female,total,,,False,True,一般診療所,12.6
真菌症,total,total,,,False,True,総数,37.0
真菌症,total,total,,,False,True,病院,37.1
真菌症,total,total,,,False,True,一般診療所,7.0
真菌症,male,total,,,False,True,総数,41.2
真菌症,male,total,,,False,True,病院,41.5
真菌症,male,total,,,False,True,一般診療所,7.0
真菌症,female,total,,,False,True,総数,30.2
真菌症,female,total,,,False,True,病院,30.2
新生物,total,total,,,False,True,総数,22.4
新生物,total,total,,,False,True,病院,22.5
新生物,total,total,,,False,True,一般診療所,20.6
新生物,male,total,,,False,True,総数,22.7
新生物,male,total,,,False,True,病院,22.8
新生物,male,total,,,False,True,一般診療所,18.5
新生物,female,total,,,False,True,総数,22.1
新生物,female,total,,,False,True,病院,22.1
新生物,female,total,,,False,True,一般診療所,22.6
悪性新生物,total,total,,,False,True,総数,23.9
悪性新生物,total,total,,,False,True,病院,23.9
悪性新生物,total,total,,,False,True,一般診療所,24.7
悪性新生物,male,total,,,False,True,総数,23.6
悪性新生物,male,total,,,False,True,病院,23.7
悪性新生物,male,total,,,False,True,一般診療所,21.6
悪性新生物,female,total,,,False,True,総数,24.3
悪性新生物,female,total,,,False,True,病院,24.2
悪性新生物,female,total,,,False,True,一般診療所,28.3
胃の悪性新生物,total,total,,,False,True,総数,26.8
胃の悪性新生物,total,total,,,False,True,病院,26.2
胃の悪性新生物,total,total,,,False,True,一般診療所,51.3
胃の悪性新生物,male,total,,,False,True,総数,24.1
胃の悪性新生物,male,total,,,False,True,病院,24.1
胃の悪性新生物,male,total,,,False,True,一般診療所,23.0
胃の悪性新生物,female,total,,,False,True,総数,32.9
胃の悪性新生物,female,total,,,False,True,病院,31.0
胃の悪性新生物,female,total,,,False,True,一般診療所,77.6
結腸及び直腸の悪性新生物,total,total,,,False,True,総数,19.2
結腸及び直腸の悪性新生物,total,total,,,False,True,病院,19.2
結腸及び直腸の悪性新生物,total,total,,,False,True,一般診療所,20.9
結腸及び直腸の悪性新生物,male,total,,,False,True,総数,18.4
結腸及び直腸の悪性新生物,male,total,,,False,True,病院,18.4
結腸及び直腸の悪性新生物,male,total,,,False,True,一般診療所,15.6
結腸及び直腸の悪性新生物,female,total,,,False,True,総数,20.4
結腸及び直腸の悪性新生物,female,total,,,False,True,病院,20.2
