disease_id,sex,section,issue_year,issue_age,age,rate_per_100k,year_lookup
cancer,male,total,2024,20,20,2.409877728807341,2024
cancer,male,total,2024,20,21,2.6599919697364096,2025
cancer,male,total,2024,20,22,2.9302405030810275,2026
cancer,male,total,2024,20,23,3.2224497407898354,2027
cancer,male,total,2024,20,24,3.538761725488391,2028
cancer,male,total,2024,20,25,3.881692535057306,2029
cancer,male,total,2024,20,26,4.257436398978809,2030
cancer,male,total,2024,20,27,4.666350558841174,2031
cancer,male,total,2024,20,28,5.112685298578864,2032
cancer,male,total,2024,20,29,5.601488523335057,2033
cancer,male,total,2024,20,30,6.138758477764806,2034
cancer,male,total,2024,20,31,6.7479835350886015,2035
cancer,male,total,2024,20,32,7.417669542589139,2036
cancer,male,total,2024,20,33,8.153816789408053,2037
cancer,male,total,2024,20,34,8.96302104771658,2038
cancer,male,total,2024,20,35,9.852532669874055,2039
cancer,male,total,2024,20,36,10.877354303035922,2040
cancer,male,total,2024,20,37,12.008773845079425,2041
cancer,male,total,2024,20,38,13.257879190532,2042
cancer,male,total,2024,20,39,14.636911553027835,2043
cancer,male,total,2024,20,40,16.159385429017686,2044
cancer,male,total,2024,20,41,17.932133311730137,2045
cancer,male,total,2024,20,42,19.899358581560193,2046
cancer,male,total,2024,20,43,22.08239616970078,2047
cancer,male,total,2024,20,44,24.504921532871997,2048
cancer,male,total,2024,20,45,27.19320741814,2049
cancer,male,total,2024,20,46,30.309886417237934,2050
cancer,male,total,2024,20,47,33.78377550318053,2051
cancer,male,total,2024,20,48,37.655815384388646,2052
cancer,male,total,2024,20,49,41.971639082484074,2053
cancer,male,total,2024,20,50,46.78210972960731,2054
cancer,male,total,2024,20,51,52.30672578681508,2055
cancer,male,total,2024,20,52,58.48375753788459,2056
cancer,male,total,2024,20,53,65.39025037985141,2057
cancer,male,total,2024,20,54,73.11234819291208,2058
cancer,male,total,2024,20,55,81.74636780300025,2059
cancer,male,total,2024,20,56,91.475163087092,2060
cancer,male,total,2024,20,57,102.36180134602844,2061
cancer,male,total,2024,20,58,114.54407973919561,2062
cancer,male,total,2024,20,59,128.17619493571235,2063
cancer,male,total,2024,20,60,143.430694852192,2064
cancer,male,total,2024,20,61,160.19038420991802,2065
cancer,male,total,2024,20,62,178.90842137915632,2066
cancer,male,total,2024,20,63,199.81363674387143,2067
cancer,male,total,2024,20,64,223.1615992195173,2068
cancer,male,total,2024,20,65,249.23774061551853,2069
cancer,male,total,2024,20,66,277.0583239749585,2070
cancer,male,total,2024,20,67,307.9843152736137,2071
cancer,male,total,2024,20,68,342.3623484531363,2072
cancer,male,total,2024,20,69,380.5777496630487,2073
cancer,male,total,2024,20,70,423.0588561884931,2074
cancer,male,total,2024,20,71,467.3926253268335,2075
cancer,male,total,2024,20,72,516.372280155216,2076
cancer,male,total,2024,20,73,570.4846787564172,2077
cancer,male,total,2024,20,74,630.267698719196,2078
cancer,male,total,2024,20,75,696.3155836449772,2079
cancer,male,total,2024,20,76,765.5339003216632,2080
cancer,male,total,2024,20,77,841.6329697433521,2081
cancer,male,total,2024,20,78,925.2967836713457,2082
cancer,male,total,2024,20,79,1017.2773271151895,2083
cancer,male,total,2024,20,80,1118.4013373056214,2084
cancer,male,total,2024,20,81,1227.7137331230776,2085
cancer,male,total,2024,20,82,1347.7103077596848,2086
cancer,male,total,2024,20,83,1479.4353314117561,2087
cancer,male,total,2024,20,84,1624.0351411037013,2088
cancer,male,total,2024,20,85,1782.7681166860368,2089
cancer,male,total,2025,20,20,2.392823619440912,2025
cancer,male,total,2025,20,21,2.6381584561125364,2026
cancer,male,total,2025,20,22,2.9034224151048935,2027
cancer,male,total,2025,20,23,3.1905170236578106,2028
cancer,male,total,2025,20,24,3.501674339809613,2029
cancer,male,total,2025,20,25,3.8395175870514633,2030
cancer,male,total,2025,20,26,4.2101033385426465,2031
cancer,male,total,2025,20,27,4.614286637224631,2032
cancer,male,total,2025,20,28,5.056526948072074,2033
cancer,male,total,2025,20,29,5.5421220501348785,2034
cancer,male,total,2025,20,30,6.077370892987158,2035
cancer,male,total,2025,20,31,6.680503699737715,2036
cancer,male,total,2025,20,32,7.343492847163247,2037
cancer,male,total,2025,20,33,8.07227862151397,2038
cancer,male,total,2025,20,34,8.873390837239413,2039
cancer,male,total,2025,20,35,9.754007343175314,2040
cancer,male,total,2025,20,36,10.768580760005563,2041
cancer,male,total,2025,20,37,11.88868610662863,2042
cancer,male,total,2025,20,38,13.125300398626685,2043
cancer,male,total,2025,20,39,14.490542437497554,2044
cancer,male,total,2025,20,40,15.997791574727508,2045
cancer,male,total,2025,20,41,17.752811978612844,2046
cancer,male,total,2025,20,42,19.70036499574459,2047
cancer,male,total,2025,20,43,21.861572208003768,2048
cancer,male,total,2025,20,44,24.259872317543277,2049
cancer,male,total,2025,20,45,26.921275343958595,2050
cancer,male,total,2025,20,46,30.006787553065564,2051
cancer,male,total,2025,20,47,33.445937748148715,2052
cancer,male,total,2025,20,48,37.27925723054474,2053
cancer,male,total,2025,20,49,41.55192269165923,2054
cancer,male,total,2025,20,50,46.31428863231125,2055
cancer,male,total,2025,20,51,51.78365852894692,2056
cancer,male,total,2025,20,52,57.898919962505715,2057
cancer,male,total,2025,20,53,64.73634787605292,2058
cancer,male,total,2025,20,54,72.38122471098299,2059
cancer,male,total,2025,20,55,80.9289041249702,2060
cancer,male,total,2025,20,56,90.56041145622112,2061
cancer,male,total,2025,20,57,101.33818333256819,2062
cancer,male,total,2025,20,58,113.3986389418037,2063
cancer,male,total,2025,20,59,126.89443298635514,2064
cancer,male,total,2025,20,60,141.99638790367013,2065
cancer,male,total,2025,20,61,158.58848036781876,2066
cancer,male,total,2025,20,62,177.1193371653648,2067
cancer,male,total,2025,20,63,197.81550037643277,2068
cancer,male,total,2025,20,64,220.9299832273222,2069
cancer,male,total,2025,20,65,246.74536320936343,2070
cancer,male,total,2025,20,66,274.2877407352088,2071
cancer,male,total,2025,20,67,304.90447212087764,2072
cancer,male,total,2025,20,68,338.938724968605,2073
cancer,male,total,2025,20,69,376.7719721664183,2074
cancer,male,total,2025,20,70,418.8282676266079,2075
cancer,male,total,2025,20,71,462.71869907356535,2076
cancer,male,total,2025,20,72,511.208557353664,2077
cancer,male,total,2025,20,73,564.7798319688527,2078
cancer,male,total,2025,20,74,623.9650217320043,2079
cancer,male,total,2025,20,75,689.3524278085276,2080
cancer,male,total,2025,20,76,757.8785613184461,2081
cancer,male,total,2025,20,77,833.2166400459189,2082
cancer,male,total,2025,20,78,916.0438158346317,2083
cancer,male,total,2025,20,79,1007.104553844037,2084
cancer,male,total,2025,20,80,1107.2173239325655,2085
cancer,male,total,2025,20,81,1215.4365957918462,2086
cancer,male,total,2025,20,82,1334.2332046820873,2087
cancer,male,total,2025,20,83,1464.6409780976392,2088
cancer,male,total,2025,20,84,1607.7947896926648,2089
cancer,male,total,2025,20,85,1764.940435519177,2090
cancer,male,total,2026,20,20,2.375190716338831,2026
cancer,male,total,2026,20,21,2.6159792700032423,2027
cancer,male,total,2026,20,22,2.8765426066784463,2028
cancer,male,total,2026,20,23,3.158859974441553,2029
cancer,male,total,2026,20,24,3.4652562738445445,2030
cancer,male,total,2026,20,25,3.798465181237839,2031
cancer,male,total,2026,20,26,4.164473251734871,2032
cancer,male,total,2026,20,27,4.56458397978756,2033
cancer,male,total,2026,20,28,5.003473736561626,2034
cancer,male,total,2026,20,29,5.48670082963353,2035
cancer,male,total,2026,20,30,6.016597184057286,2036
cancer,male,total,2026,20,31,6.6136986627403385,2037
cancer,male,total,2026,20,32,7.270057918691613,2038
cancer,male,total,2026,20,33,7.991555835298834,2039
cancer,male,total,2026,20,34,8.78465692886702,2040
cancer,male,total,2026,20,35,9.656467269743558,2041
cancer,male,total,2026,20,36,10.660894952405505,2042
cancer,male,total,2026,20,37,11.769799245562341,2043
cancer,male,total,2026,20,38,12.994047394640416,2044
cancer,male,total,2026,20,39,14.345637013122577,2045
cancer,male,total,2026,20,40,15.837813658980236,2046
cancer,male,total,2026,20,41,17.57528385882671,2047
cancer,male,total,2026,20,42,19.503361345787148,2048
cancer,male,total,2026,20,43,21.642956485923726,2049
cancer,male,total,2026,20,44,24.01727359436784,2050
cancer,male,total,2026,20,45,26.652062590519016,2051
cancer,male,total,2026,20,46,29.706719677534906,2052
cancer,male,total,2026,20,47,33.11147837066723,2053
cancer,male,total,2026,20,48,36.9064646582393,2054
cancer,male,total,2026,20,49,41.13640346474265,2055
cancer,male,total,2026,20,50,45.851145745988134,2056
cancer,male,total,2026,20,51,51.26582194365745,2057
cancer,male,total,2026,20,52,57.319930762880624,2058
cancer,male,total,2026,20,53,64.0889843972924,2059
cancer,male,total,2026,20,54,71.65741246387311,2060
cancer,male,total,2026,20,55,80.11961508372052,2061
cancer,male,total,2026,20,56,89.65480734165892,2062
cancer,male,total,2026,20,57,100.32480149924244,2063
cancer,male,total,2026,20,58,112.2646525523856,2064
cancer,male,total,2026,20,59,125.62548865649164,2065
cancer,male,total,2026,20,60,140.57642402463335,2066
cancer,male,total,2026,20,61,157.00259556414062,2067
cancer,male,total,2026,20,62,175.34814379371107,2068
cancer,male,total,2026,20,63,195.8373453726685,2069
cancer,male,total,2026,20,64,218.72068339504906,2070
cancer,male,total,2026,20,65,244.27790957726964,2071
cancer,male,total,2026,20,66,271.5448633278568,2072
cancer,male,total,2026,20,67,301.85542739966894,2073
cancer,male,total,2026,20,68,335.54933771891905,2074
cancer,male,total,2026,20,69,373.0042524447539,2075
cancer,male,total,2026,20,70,414.63998495034195,2076
cancer,male,total,2026,20,71,458.0915120828298,2077
cancer,male,total,2026,20,72,506.09647178012705,2078
cancer,male,total,2026,20,73,559.1320336491643,2079
cancer,male,total,2026,20,74,617.7253715146844,2080
cancer,male,total,2026,20,75,682.458903530442,2081
cancer,male,total,2026,20,76,750.2997757052619,2082
cancer,male,total,2026,20,77,824.8844736454599,2083
cancer,male,total,2026,20,78,906.8833776762857,2084
cancer,male,total,2026,20,79,997.0335083055969,2085
cancer,male,total,2026,20,80,1096.14515069324,2086
cancer,male,total,2026,20,81,1203.282229833928,2087
cancer,male,total,2026,20,82,1320.890872635267,2088
cancer,male,total,2026,20,83,1449.9945683166618,2089
cancer,male,total,2026,20,84,1591.7168417957373,2090
cancer,male,total,2026,20,85,1747.2910311639857,2091
cancer,male,total,2027,20,20,2.3569934245477207,2027
cancer,male,total,2027,20,21,2.5934659826857858,2028
