source_file,section,group,year,patients_thousands
Z2-4.txt,Total,総数,2014,8557.2
Z2-4.txt,Total,総数,2017,8503.6
Z2-4.txt,Total,総数,2020,8348.8
Z2-4.txt,Total,総数,2023,8450.3
Z2-4.txt,Total,男,2014,3734.8
Z2-4.txt,Total,男,2017,3653.1
Z2-4.txt,Total,男,2020,3608.5
Z2-4.txt,Total,男,2023,3636.0
Z2-4.txt,Total,女,2014,4822.4
Z2-4.txt,Total,女,2017,4850.5
Z2-4.txt,Total,女,2020,4740.3
Z2-4.txt,Total,女,2023,4814.3
Z2-4.txt,Total,０歳,2014,79.1
Z2-4.txt,Total,０歳,2017,81.3
Z2-4.txt,Total,０歳,2020,70.0
Z2-4.txt,Total,０歳,2023,58.3
Z2-4.txt,Total,１～４,2014,291.4
Z2-4.txt,Total,１～４,2017,263.8
Z2-4.txt,Total,１～４,2020,239.3
Z2-4.txt,Total,１～４,2023,214.6
Z2-4.txt,Total,５～９,2014,239.6
Z2-4.txt,Total,５～９,2017,234.3
Z2-4.txt,Total,５～９,2020,249.9
Z2-4.txt,Total,５～９,2023,255.5
Z2-4.txt,Total,10～14,2014,156.6
Z2-4.txt,Total,10～14,2017,155.2
Z2-4.txt,Total,10～14,2020,183.4
Z2-4.txt,Total,10～14,2023,197.7
Z2-4.txt,Total,15～19,2014,123.3
Z2-4.txt,Total,15～19,2017,122.1
Z2-4.txt,Total,15～19,2020,131.3
Z2-4.txt,Total,15～19,2023,141.4
Z2-4.txt,Total,20～24,2014,149.1
Z2-4.txt,Total,20～24,2017,141.1
Z2-4.txt,Total,20～24,2020,155.6
Z2-4.txt,Total,20～24,2023,156.2
Z2-4.txt,Total,25～29,2014,197.4
Z2-4.txt,Total,25～29,2017,187.8
Z2-4.txt,Total,25～29,2020,184.5
Z2-4.txt,Total,25～29,2023,195.6
Z2-4.txt,Total,30～34,2014,252.5
Z2-4.txt,Total,30～34,2017,241.4
Z2-4.txt,Total,30～34,2020,220.8
Z2-4.txt,Total,30～34,2023,219.5
Z2-4.txt,Total,35～39,2014,310.7
Z2-4.txt,Total,35～39,2017,275.9
Z2-4.txt,Total,35～39,2020,257.3
Z2-4.txt,Total,35～39,2023,253.4
Z2-4.txt,Total,40～44,2014,363.5
Z2-4.txt,Total,40～44,2017,346.8
Z2-4.txt,Total,40～44,2020,318.1
Z2-4.txt,Total,40～44,2023,291.9
Z2-4.txt,Total,45～49,2014,366.2
