source_file,section,category,year,patients_thousands
Z3-2.txt,Total,総数,2014,8557.2
Z3-2.txt,Inpatient,総数,2014,1318.8
Z3-2.txt,Outpatient,総数,2014,7238.4
Z3-2.txt,Total,総数,2017,8503.6
Z3-2.txt,Inpatient,総数,2017,1312.6
Z3-2.txt,Outpatient,総数,2017,7191.0
Z3-2.txt,Total,総数,2020,8348.8
Z3-2.txt,Inpatient,総数,2020,1211.3
Z3-2.txt,Outpatient,総数,2020,7137.5
Z3-2.txt,Total,総数,2023,8450.3
Z3-2.txt,Inpatient,総数,2023,1175.3
Z3-2.txt,Outpatient,総数,2023,7275.0
Z3-2.txt,Total,Ⅰ　感染症及び寄生虫症,2014,194.0
Z3-2.txt,Inpatient,Ⅰ　感染症及び寄生虫症,2014,20.7
Z3-2.txt,Outpatient,Ⅰ　感染症及び寄生虫症,2014,173.3
Z3-2.txt,Total,Ⅰ　感染症及び寄生虫症,2017,189.6
Z3-2.txt,Inpatient,Ⅰ　感染症及び寄生虫症,2017,19.8
Z3-2.txt,Outpatient,Ⅰ　感染症及び寄生虫症,2017,169.8
Z3-2.txt,Total,Ⅰ　感染症及び寄生虫症,2020,146.6
Z3-2.txt,Inpatient,Ⅰ　感染症及び寄生虫症,2020,16.3
Z3-2.txt,Outpatient,Ⅰ　感染症及び寄生虫症,2020,130.4
Z3-2.txt,Total,Ⅰ　感染症及び寄生虫症,2023,163.9
Z3-2.txt,Inpatient,Ⅰ　感染症及び寄生虫症,2023,15.6
Z3-2.txt,Outpatient,Ⅰ　感染症及び寄生虫症,2023,148.4
Z3-2.txt,Total,腸管感染症（再掲）,2014,34.2
Z3-2.txt,Inpatient,腸管感染症（再掲）,2014,4.1
Z3-2.txt,Outpatient,腸管感染症（再掲）,2014,30.1
Z3-2.txt,Total,腸管感染症（再掲）,2017,34.0
Z3-2.txt,Inpatient,腸管感染症（再掲）,2017,4.1
Z3-2.txt,Outpatient,腸管感染症（再掲）,2017,29.9
Z3-2.txt,Total,腸管感染症（再掲）,2020,23.6
Z3-2.txt,Inpatient,腸管感染症（再掲）,2020,3.3
Z3-2.txt,Outpatient,腸管感染症（再掲）,2020,20.3
Z3-2.txt,Total,腸管感染症（再掲）,2023,29.0
Z3-2.txt,Inpatient,腸管感染症（再掲）,2023,2.9
Z3-2.txt,Outpatient,腸管感染症（再掲）,2023,26.1
Z3-2.txt,Total,結核（再掲）,2014,5.1
Z3-2.txt,Inpatient,結核（再掲）,2014,3.4
Z3-2.txt,Outpatient,結核（再掲）,2014,1.7
Z3-2.txt,Total,結核（再掲）,2017,4.3
Z3-2.txt,Inpatient,結核（再掲）,2017,2.8
Z3-2.txt,Outpatient,結核（再掲）,2017,1.5
Z3-2.txt,Total,結核（再掲）,2020,3.1
Z3-2.txt,Inpatient,結核（再掲）,2020,2.0
Z3-2.txt,Outpatient,結核（再掲）,2020,1.1
Z3-2.txt,Total,結核（再掲）,2023,2.2
Z3-2.txt,Inpatient,結核（再掲）,2023,1.3
Z3-2.txt,Outpatient,結核（再掲）,2023,0.9
Z3-2.txt,Total,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2014,59.5
Z3-2.txt,Inpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2014,1.4
Z3-2.txt,Outpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2014,58.1
Z3-2.txt,Total,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2017,62.3
Z3-2.txt,Inpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2017,1.6
Z3-2.txt,Outpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2017,60.8
Z3-2.txt,Total,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2020,54.2
Z3-2.txt,Inpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2020,1.3
Z3-2.txt,Outpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2020,53.0
Z3-2.txt,Total,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2023,58.2
Z3-2.txt,Inpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2023,1.2
Z3-2.txt,Outpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2023,57.0
Z3-2.txt,Total,真菌症（再掲）,2014,35.5
Z3-2.txt,Inpatient,真菌症（再掲）,2014,0.9
Z3-2.txt,Outpatient,真菌症（再掲）,2014,34.6
Z3-2.txt,Total,真菌症（再掲）,2017,39.9
Z3-2.txt,Inpatient,真菌症（再掲）,2017,0.9
Z3-2.txt,Outpatient,真菌症（再掲）,2017,39.0
Z3-2.txt,Total,真菌症（再掲）,2020,31.3
Z3-2.txt,Inpatient,真菌症（再掲）,2020,0.7
Z3-2.txt,Outpatient,真菌症（再掲）,2020,30.6
Z3-2.txt,Total,真菌症（再掲）,2023,32.1
Z3-2.txt,Inpatient,真菌症（再掲）,2023,0.7
Z3-2.txt,Outpatient,真菌症（再掲）,2023,31.4
Z3-2.txt,Total,Ⅱ　新生物＜腫瘍＞,2014,376.5
Z3-2.txt,Inpatient,Ⅱ　新生物＜腫瘍＞,2014,144.9
Z3-2.txt,Outpatient,Ⅱ　新生物＜腫瘍＞,2014,231.6
Z3-2.txt,Total,Ⅱ　新生物＜腫瘍＞,2017,391.6
Z3-2.txt,Inpatient,Ⅱ　新生物＜腫瘍＞,2017,142.2
Z3-2.txt,Outpatient,Ⅱ　新生物＜腫瘍＞,2017,249.5
Z3-2.txt,Total,Ⅱ　新生物＜腫瘍＞,2020,373.7
Z3-2.txt,Inpatient,Ⅱ　新生物＜腫瘍＞,2020,126.7
Z3-2.txt,Outpatient,Ⅱ　新生物＜腫瘍＞,2020,247.0
Z3-2.txt,Total,Ⅱ　新生物＜腫瘍＞,2023,377.0
Z3-2.txt,Inpatient,Ⅱ　新生物＜腫瘍＞,2023,118.8
Z3-2.txt,Outpatient,Ⅱ　新生物＜腫瘍＞,2023,258.2
Z3-2.txt,Total,（悪性新生物＜腫瘍＞）（再掲）,2014,300.8
Z3-2.txt,Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2014,129.4
Z3-2.txt,Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2014,171.4
Z3-2.txt,Total,（悪性新生物＜腫瘍＞）（再掲）,2017,309.8
Z3-2.txt,Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2017,126.1
Z3-2.txt,Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2017,183.6
Z3-2.txt,Total,（悪性新生物＜腫瘍＞）（再掲）,2020,295.1
Z3-2.txt,Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2020,112.9
Z3-2.txt,Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2020,182.2
Z3-2.txt,Total,（悪性新生物＜腫瘍＞）（再掲）,2023,292.5
Z3-2.txt,Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2023,106.1
Z3-2.txt,Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2023,186.4
Z3-2.txt,Total,胃の悪性新生物＜腫瘍＞（再掲）,2014,32.7
Z3-2.txt,Inpatient,胃の悪性新生物＜腫瘍＞（再掲）,2014,13.5
Z3-2.txt,Outpatient,胃の悪性新生物＜腫瘍＞（再掲）,2014,19.2
Z3-2.txt,Total,胃の悪性新生物＜腫瘍＞（再掲）,2017,32.4
Z3-2.txt,Inpatient,胃の悪性新生物＜腫瘍＞（再掲）,2017,12.5
Z3-2.txt,Outpatient,胃の悪性新生物＜腫瘍＞（再掲）,2017,19.9
Z3-2.txt,Total,胃の悪性新生物＜腫瘍＞（再掲）,2020,26.4
Z3-2.txt,Inpatient,胃の悪性新生物＜腫瘍＞（再掲）,2020,10.2
Z3-2.txt,Outpatient,胃の悪性新生物＜腫瘍＞（再掲）,2020,16.2
Z3-2.txt,Total,胃の悪性新生物＜腫瘍＞（再掲）,2023,24.1
Z3-2.txt,Inpatient,胃の悪性新生物＜腫瘍＞（再掲）,2023,8.6
