source_file,section,group,year,rate_per_100k
Z4-4.txt,Total,総数,2014,6734.0
Z4-4.txt,Total,総数,2017,6711.0
Z4-4.txt,Total,総数,2020,6618.0
Z4-4.txt,Total,総数,2023,6795.0
Z4-4.txt,Total,男,2014,6043.0
Z4-4.txt,Total,男,2017,5925.0
Z4-4.txt,Total,男,2020,5882.0
Z4-4.txt,Total,男,2023,6011.0
Z4-4.txt,Total,女,2014,7387.0
Z4-4.txt,Total,女,2017,7456.0
Z4-4.txt,Total,女,2020,7316.0
Z4-4.txt,Total,女,2023,7539.0
Z4-4.txt,Total,０歳,2014,7753.0
Z4-4.txt,Total,０歳,2017,8443.0
Z4-4.txt,Total,０歳,2020,8361.0
Z4-4.txt,Total,０歳,2023,7705.0
Z4-4.txt,Total,１～４,2014,6948.0
Z4-4.txt,Total,１～４,2017,6686.0
Z4-4.txt,Total,１～４,2020,6461.0
Z4-4.txt,Total,１～４,2023,6444.0
Z4-4.txt,Total,５～９,2014,4514.0
Z4-4.txt,Total,５～９,2017,4463.0
Z4-4.txt,Total,５～９,2020,4887.0
Z4-4.txt,Total,５～９,2023,5282.0
Z4-4.txt,Total,10～14,2014,2741.0
Z4-4.txt,Total,10～14,2017,2858.0
Z4-4.txt,Total,10～14,2020,3412.0
Z4-4.txt,Total,10～14,2023,3767.0
Z4-4.txt,Total,15～19,2014,2054.0
Z4-4.txt,Total,15～19,2017,2037.0
Z4-4.txt,Total,15～19,2020,2301.0
Z4-4.txt,Total,15～19,2023,2574.0
Z4-4.txt,Total,20～24,2014,2404.0
Z4-4.txt,Total,20～24,2017,2266.0
Z4-4.txt,Total,20～24,2020,2462.0
Z4-4.txt,Total,20～24,2023,2504.0
Z4-4.txt,Total,25～29,2014,2957.0
Z4-4.txt,Total,25～29,2017,2985.0
Z4-4.txt,Total,25～29,2020,2890.0
Z4-4.txt,Total,25～29,2023,3019.0
Z4-4.txt,Total,30～34,2014,3382.0
Z4-4.txt,Total,30～34,2017,3394.0
Z4-4.txt,Total,30～34,2020,3289.0
Z4-4.txt,Total,30～34,2023,3440.0
Z4-4.txt,Total,35～39,2014,3584.0
Z4-4.txt,Total,35～39,2017,3499.0
Z4-4.txt,Total,35～39,2020,3431.0
Z4-4.txt,Total,35～39,2023,3595.0
Z4-4.txt,Total,40～44,2014,3712.0
Z4-4.txt,Total,40～44,2017,3673.0
Z4-4.txt,Total,40～44,2020,3752.0
Z4-4.txt,Total,40～44,2023,3759.0
Z4-4.txt,Total,45～49,2014,4255.0
Z4-4.txt,Total,45～49,2017,4181.0
Z4-4.txt,Total,45～49,2020,4090.0
Z4-4.txt,Total,45～49,2023,4230.0
Z4-4.txt,Total,50～54,2014,5255.0
Z4-4.txt,Total,50～54,2017,5033.0
Z4-4.txt,Total,50～54,2020,4764.0
Z4-4.txt,Total,50～54,2023,4836.0
Z4-4.txt,Total,55～59,2014,6134.0
Z4-4.txt,Total,55～59,2017,5990.0
Z4-4.txt,Total,55～59,2020,5776.0
Z4-4.txt,Total,55～59,2023,5784.0
Z4-4.txt,Total,60～64,2014,7579.0
Z4-4.txt,Total,60～64,2017,7276.0
Z4-4.txt,Total,60～64,2020,7008.0
Z4-4.txt,Total,60～64,2023,7157.0
Z4-4.txt,Total,65～69,2014,9660.0
Z4-4.txt,Total,65～69,2017,9129.0
Z4-4.txt,Total,65～69,2020,9158.0
Z4-4.txt,Total,65～69,2023,9225.0
Z4-4.txt,Total,70～74,2014,12598.0
Z4-4.txt,Total,70～74,2017,11886.0
Z4-4.txt,Total,70～74,2020,11194.0
Z4-4.txt,Total,70～74,2023,10897.0
Z4-4.txt,Total,75～79,2014,15032.0
Z4-4.txt,Total,75～79,2017,14571.0
Z4-4.txt,Total,75～79,2020,13730.0
Z4-4.txt,Total,75～79,2023,13231.0
Z4-4.txt,Total,80～84,2014,16485.0
Z4-4.txt,Total,80～84,2017,16185.0
Z4-4.txt,Total,80～84,2020,15081.0
Z4-4.txt,Total,80～84,2023,14962.0
Z4-4.txt,Total,85～89,2014,16951.0
Z4-4.txt,Total,85～89,2017,16935.0
Z4-4.txt,Total,85～89,2020,15363.0
Z4-4.txt,Total,85～89,2023,15896.0
Z4-4.txt,Total,90歳以上,2014,17486.0
Z4-4.txt,Total,90歳以上,2017,17783.0
Z4-4.txt,Total,90歳以上,2020,15930.0
Z4-4.txt,Total,90歳以上,2023,16296.0
Z4-4.txt,Total,65歳以上（再掲）,2014,13477.0
Z4-4.txt,Total,65歳以上（再掲）,2017,13102.0
Z4-4.txt,Total,65歳以上（再掲）,2020,12556.0
Z4-4.txt,Total,65歳以上（再掲）,2023,12657.0
Z4-4.txt,Total,70歳以上（再掲）,2014,14943.0
Z4-4.txt,Total,70歳以上（再掲）,2017,14665.0
Z4-4.txt,Total,70歳以上（再掲）,2020,13563.0
Z4-4.txt,Total,70歳以上（再掲）,2023,13529.0
Z4-4.txt,Inpatient,総数,2014,1038.0
Z4-4.txt,Inpatient,総数,2017,1036.0
Z4-4.txt,Inpatient,総数,2020,960.0
Z4-4.txt,Inpatient,総数,2023,945.0
Z4-4.txt,Inpatient,男,2014,977.0
Z4-4.txt,Inpatient,男,2017,972.0
Z4-4.txt,Inpatient,男,2020,910.0
Z4-4.txt,Inpatient,男,2023,893.0
Z4-4.txt,Inpatient,女,2014,1095.0
Z4-4.txt,Inpatient,女,2017,1096.0
Z4-4.txt,Inpatient,女,2020,1007.0
Z4-4.txt,Inpatient,女,2023,995.0
Z4-4.txt,Inpatient,０歳,2014,1062.0
Z4-4.txt,Inpatient,０歳,2017,1167.0
Z4-4.txt,Inpatient,０歳,2020,1065.0
Z4-4.txt,Inpatient,０歳,2023,1237.0
Z4-4.txt,Inpatient,１～４,2014,170.0
Z4-4.txt,Inpatient,１～４,2017,169.0
Z4-4.txt,Inpatient,１～４,2020,134.0
Z4-4.txt,Inpatient,１～４,2023,153.0
Z4-4.txt,Inpatient,５～９,2014,92.0
Z4-4.txt,Inpatient,５～９,2017,86.0
Z4-4.txt,Inpatient,５～９,2020,71.0
Z4-4.txt,Inpatient,５～９,2023,86.0
Z4-4.txt,Inpatient,10～14,2014,92.0
Z4-4.txt,Inpatient,10～14,2017,94.0
Z4-4.txt,Inpatient,10～14,2020,99.0
Z4-4.txt,Inpatient,10～14,2023,87.0
Z4-4.txt,Inpatient,15～19,2014,117.0
Z4-4.txt,Inpatient,15～19,2017,113.0
Z4-4.txt,Inpatient,15～19,2020,123.0
Z4-4.txt,Inpatient,15～19,2023,115.0
Z4-4.txt,Inpatient,20～24,2014,165.0
Z4-4.txt,Inpatient,20～24,2017,158.0
Z4-4.txt,Inpatient,20～24,2020,141.0
Z4-4.txt,Inpatient,20～24,2023,137.0
Z4-4.txt,Inpatient,25～29,2014,241.0
Z4-4.txt,Inpatient,25～29,2017,235.0
Z4-4.txt,Inpatient,25～29,2020,198.0
Z4-4.txt,Inpatient,25～29,2023,182.0
Z4-4.txt,Inpatient,30～34,2014,296.0
Z4-4.txt,Inpatient,30～34,2017,291.0
Z4-4.txt,Inpatient,30～34,2020,246.0
Z4-4.txt,Inpatient,30～34,2023,239.0
Z4-4.txt,Inpatient,35～39,2014,304.0
Z4-4.txt,Inpatient,35～39,2017,296.0
Z4-4.txt,Inpatient,35～39,2020,257.0
Z4-4.txt,Inpatient,35～39,2023,242.0
Z4-4.txt,Inpatient,40～44,2014,330.0
Z4-4.txt,Inpatient,40～44,2017,311.0
Z4-4.txt,Inpatient,40～44,2020,273.0
Z4-4.txt,Inpatient,40～44,2023,258.0
Z4-4.txt,Inpatient,45～49,2014,427.0
Z4-4.txt,Inpatient,45～49,2017,398.0
Z4-4.txt,Inpatient,45～49,2020,345.0
Z4-4.txt,Inpatient,45～49,2023,318.0
Z4-4.txt,Inpatient,50～54,2014,591.0
Z4-4.txt,Inpatient,50～54,2017,552.0
Z4-4.txt,Inpatient,50～54,2020,478.0
Z4-4.txt,Inpatient,50～54,2023,441.0
Z4-4.txt,Inpatient,55～59,2014,772.0
Z4-4.txt,Inpatient,55～59,2017,758.0
Z4-4.txt,Inpatient,55～59,2020,664.0
Z4-4.txt,Inpatient,55～59,2023,613.0
Z4-4.txt,Inpatient,60～64,2014,1064.0
Z4-4.txt,Inpatient,60～64,2017,997.0
Z4-4.txt,Inpatient,60～64,2020,895.0
Z4-4.txt,Inpatient,60～64,2023,838.0
Z4-4.txt,Inpatient,65～69,2014,1350.0
Z4-4.txt,Inpatient,65～69,2017,1305.0
Z4-4.txt,Inpatient,65～69,2020,1207.0
Z4-4.txt,Inpatient,65～69,2023,1117.0
Z4-4.txt,Inpatient,70～74,2014,1820.0
Z4-4.txt,Inpatient,70～74,2017,1712.0
Z4-4.txt,Inpatient,70～74,2020,1544.0
Z4-4.txt,Inpatient,70～74,2023,1502.0
Z4-4.txt,Inpatient,75～79,2014,2635.0
Z4-4.txt,Inpatient,75～79,2017,2448.0
Z4-4.txt,Inpatient,75～79,2020,2204.0
Z4-4.txt,Inpatient,75～79,2023,2033.0
Z4-4.txt,Inpatient,80～84,2014,3879.0
Z4-4.txt,Inpatient,80～84,2017,3633.0
Z4-4.txt,Inpatient,80～84,2020,3234.0
Z4-4.txt,Inpatient,80～84,2023,2952.0
Z4-4.txt,Inpatient,85～89,2014,5578.0
Z4-4.txt,Inpatient,85～89,2017,5326.0
Z4-4.txt,Inpatient,85～89,2020,4634.0
Z4-4.txt,Inpatient,85～89,2023,4413.0
Z4-4.txt,Inpatient,90歳以上,2014,8412.0
Z4-4.txt,Inpatient,90歳以上,2017,7815.0
Z4-4.txt,Inpatient,90歳以上,2020,6682.0
Z4-4.txt,Inpatient,90歳以上,2023,6275.0
Z4-4.txt,Inpatient,65歳以上（再掲）,2014,2840.0
Z4-4.txt,Inpatient,65歳以上（再掲）,2017,2734.0
Z4-4.txt,Inpatient,65歳以上（再掲）,2020,2512.0
Z4-4.txt,Inpatient,65歳以上（再掲）,2023,2449.0
Z4-4.txt,Inpatient,70歳以上（再掲）,2014,3412.0
Z4-4.txt,Inpatient,70歳以上（再掲）,2017,3295.0
Z4-4.txt,Inpatient,70歳以上（再掲）,2020,2899.0
Z4-4.txt,Inpatient,70歳以上（再掲）,2023,2787.0
Z4-4.txt,Outpatient,総数,2014,5696.0
Z4-4.txt,Outpatient,総数,2017,5675.0
Z4-4.txt,Outpatient,総数,2020,5658.0
Z4-4.txt,Outpatient,総数,2023,5850.0
Z4-4.txt,Outpatient,男,2014,5066.0
Z4-4.txt,Outpatient,男,2017,4953.0
Z4-4.txt,Outpatient,男,2020,4971.0
Z4-4.txt,Outpatient,男,2023,5118.0
Z4-4.txt,Outpatient,女,2014,6292.0
Z4-4.txt,Outpatient,女,2017,6360.0
Z4-4.txt,Outpatient,女,2020,6308.0
Z4-4.txt,Outpatient,女,2023,6544.0
Z4-4.txt,Outpatient,０歳,2014,6691.0
Z4-4.txt,Outpatient,０歳,2017,7276.0
Z4-4.txt,Outpatient,０歳,2020,7296.0
Z4-4.txt,Outpatient,０歳,2023,6467.0
Z4-4.txt,Outpatient,１～４,2014,6778.0
Z4-4.txt,Outpatient,１～４,2017,6517.0
Z4-4.txt,Outpatient,１～４,2020,6327.0
Z4-4.txt,Outpatient,１～４,2023,6291.0
Z4-4.txt,Outpatient,５～９,2014,4422.0
Z4-4.txt,Outpatient,５～９,2017,4377.0
Z4-4.txt,Outpatient,５～９,2020,4816.0
Z4-4.txt,Outpatient,５～９,2023,5196.0
Z4-4.txt,Outpatient,10～14,2014,2649.0
Z4-4.txt,Outpatient,10～14,2017,2764.0
Z4-4.txt,Outpatient,10～14,2020,3313.0
Z4-4.txt,Outpatient,10～14,2023,3680.0
Z4-4.txt,Outpatient,15～19,2014,1937.0
Z4-4.txt,Outpatient,15～19,2017,1923.0
Z4-4.txt,Outpatient,15～19,2020,2178.0
Z4-4.txt,Outpatient,15～19,2023,2459.0
Z4-4.txt,Outpatient,20～24,2014,2240.0
Z4-4.txt,Outpatient,20～24,2017,2108.0
Z4-4.txt,Outpatient,20～24,2020,2321.0
Z4-4.txt,Outpatient,20～24,2023,2367.0
Z4-4.txt,Outpatient,25～29,2014,2716.0
Z4-4.txt,Outpatient,25～29,2017,2751.0
Z4-4.txt,Outpatient,25～29,2020,2692.0
Z4-4.txt,Outpatient,25～29,2023,2837.0
Z4-4.txt,Outpatient,30～34,2014,3086.0
Z4-4.txt,Outpatient,30～34,2017,3104.0
Z4-4.txt,Outpatient,30～34,2020,3043.0
Z4-4.txt,Outpatient,30～34,2023,3201.0
Z4-4.txt,Outpatient,35～39,2014,3280.0
Z4-4.txt,Outpatient,35～39,2017,3203.0
Z4-4.txt,Outpatient,35～39,2020,3174.0
Z4-4.txt,Outpatient,35～39,2023,3353.0
Z4-4.txt,Outpatient,40～44,2014,3382.0
Z4-4.txt,Outpatient,40～44,2017,3362.0
Z4-4.txt,Outpatient,40～44,2020,3480.0
Z4-4.txt,Outpatient,40～44,2023,3501.0
Z4-4.txt,Outpatient,45～49,2014,3827.0
Z4-4.txt,Outpatient,45～49,2017,3782.0
Z4-4.txt,Outpatient,45～49,2020,3745.0
Z4-4.txt,Outpatient,45～49,2023,3912.0
Z4-4.txt,Outpatient,50～54,2014,4664.0
Z4-4.txt,Outpatient,50～54,2017,4481.0
Z4-4.txt,Outpatient,50～54,2020,4285.0
Z4-4.txt,Outpatient,50～54,2023,4395.0
