source_file,section,category,year,rate_per_100k
Z5-2.txt,Total,総数,2014,6734.0
Z5-2.txt,Inpatient,総数,2014,1038.0
Z5-2.txt,Outpatient,総数,2014,5696.0
Z5-2.txt,Total,総数,2017,6711.0
Z5-2.txt,Inpatient,総数,2017,1036.0
Z5-2.txt,Outpatient,総数,2017,5675.0
Z5-2.txt,Total,総数,2020,6618.0
Z5-2.txt,Inpatient,総数,2020,960.0
Z5-2.txt,Outpatient,総数,2020,5658.0
Z5-2.txt,Total,総数,2023,6795.0
Z5-2.txt,Inpatient,総数,2023,945.0
Z5-2.txt,Outpatient,総数,2023,5850.0
Z5-2.txt,Total,Ⅰ　感染症及び寄生虫症,2014,153.0
Z5-2.txt,Inpatient,Ⅰ　感染症及び寄生虫症,2014,16.0
Z5-2.txt,Outpatient,Ⅰ　感染症及び寄生虫症,2014,136.0
Z5-2.txt,Total,Ⅰ　感染症及び寄生虫症,2017,150.0
Z5-2.txt,Inpatient,Ⅰ　感染症及び寄生虫症,2017,16.0
Z5-2.txt,Outpatient,Ⅰ　感染症及び寄生虫症,2017,134.0
Z5-2.txt,Total,Ⅰ　感染症及び寄生虫症,2020,116.0
Z5-2.txt,Inpatient,Ⅰ　感染症及び寄生虫症,2020,13.0
Z5-2.txt,Outpatient,Ⅰ　感染症及び寄生虫症,2020,103.0
Z5-2.txt,Total,Ⅰ　感染症及び寄生虫症,2023,132.0
Z5-2.txt,Inpatient,Ⅰ　感染症及び寄生虫症,2023,13.0
Z5-2.txt,Outpatient,Ⅰ　感染症及び寄生虫症,2023,119.0
Z5-2.txt,Total,腸管感染症（再掲）,2014,27.0
Z5-2.txt,Inpatient,腸管感染症（再掲）,2014,3.0
Z5-2.txt,Outpatient,腸管感染症（再掲）,2014,24.0
Z5-2.txt,Total,腸管感染症（再掲）,2017,27.0
Z5-2.txt,Inpatient,腸管感染症（再掲）,2017,3.0
Z5-2.txt,Outpatient,腸管感染症（再掲）,2017,24.0
Z5-2.txt,Total,腸管感染症（再掲）,2020,19.0
Z5-2.txt,Inpatient,腸管感染症（再掲）,2020,3.0
Z5-2.txt,Outpatient,腸管感染症（再掲）,2020,16.0
Z5-2.txt,Total,腸管感染症（再掲）,2023,23.0
Z5-2.txt,Inpatient,腸管感染症（再掲）,2023,2.0
Z5-2.txt,Outpatient,腸管感染症（再掲）,2023,21.0
Z5-2.txt,Total,結核（再掲）,2014,4.0
Z5-2.txt,Inpatient,結核（再掲）,2014,3.0
Z5-2.txt,Outpatient,結核（再掲）,2014,1.0
Z5-2.txt,Total,結核（再掲）,2017,3.0
Z5-2.txt,Inpatient,結核（再掲）,2017,2.0
Z5-2.txt,Outpatient,結核（再掲）,2017,1.0
Z5-2.txt,Total,結核（再掲）,2020,2.0
Z5-2.txt,Inpatient,結核（再掲）,2020,2.0
Z5-2.txt,Outpatient,結核（再掲）,2020,1.0
Z5-2.txt,Total,結核（再掲）,2023,2.0
Z5-2.txt,Inpatient,結核（再掲）,2023,1.0
Z5-2.txt,Outpatient,結核（再掲）,2023,1.0
Z5-2.txt,Total,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2014,47.0
Z5-2.txt,Inpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2014,1.0
Z5-2.txt,Outpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2014,46.0
Z5-2.txt,Total,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2017,49.0
Z5-2.txt,Inpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2017,1.0
Z5-2.txt,Outpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2017,48.0
Z5-2.txt,Total,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2020,43.0
Z5-2.txt,Inpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2020,1.0
Z5-2.txt,Outpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2020,42.0
Z5-2.txt,Total,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2023,47.0
Z5-2.txt,Inpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2023,1.0
Z5-2.txt,Outpatient,皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,2023,46.0
Z5-2.txt,Total,真菌症（再掲）,2014,28.0
Z5-2.txt,Inpatient,真菌症（再掲）,2014,1.0
Z5-2.txt,Outpatient,真菌症（再掲）,2014,27.0
Z5-2.txt,Total,真菌症（再掲）,2017,32.0
Z5-2.txt,Inpatient,真菌症（再掲）,2017,1.0
Z5-2.txt,Outpatient,真菌症（再掲）,2017,31.0
Z5-2.txt,Total,真菌症（再掲）,2020,25.0
Z5-2.txt,Inpatient,真菌症（再掲）,2020,1.0
Z5-2.txt,Outpatient,真菌症（再掲）,2020,24.0
Z5-2.txt,Total,真菌症（再掲）,2023,26.0
Z5-2.txt,Inpatient,真菌症（再掲）,2023,1.0
Z5-2.txt,Outpatient,真菌症（再掲）,2023,25.0
Z5-2.txt,Total,Ⅱ　新生物＜腫瘍＞,2014,296.0
Z5-2.txt,Inpatient,Ⅱ　新生物＜腫瘍＞,2014,114.0
Z5-2.txt,Outpatient,Ⅱ　新生物＜腫瘍＞,2014,182.0
Z5-2.txt,Total,Ⅱ　新生物＜腫瘍＞,2017,309.0
Z5-2.txt,Inpatient,Ⅱ　新生物＜腫瘍＞,2017,112.0
Z5-2.txt,Outpatient,Ⅱ　新生物＜腫瘍＞,2017,197.0
Z5-2.txt,Total,Ⅱ　新生物＜腫瘍＞,2020,296.0
Z5-2.txt,Inpatient,Ⅱ　新生物＜腫瘍＞,2020,100.0
Z5-2.txt,Outpatient,Ⅱ　新生物＜腫瘍＞,2020,196.0
Z5-2.txt,Total,Ⅱ　新生物＜腫瘍＞,2023,303.0
Z5-2.txt,Inpatient,Ⅱ　新生物＜腫瘍＞,2023,96.0
Z5-2.txt,Outpatient,Ⅱ　新生物＜腫瘍＞,2023,208.0
Z5-2.txt,Total,（悪性新生物＜腫瘍＞）（再掲）,2014,237.0
Z5-2.txt,Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2014,102.0
Z5-2.txt,Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2014,135.0
Z5-2.txt,Total,（悪性新生物＜腫瘍＞）（再掲）,2017,244.0
Z5-2.txt,Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2017,100.0
Z5-2.txt,Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2017,145.0
Z5-2.txt,Total,（悪性新生物＜腫瘍＞）（再掲）,2020,234.0
Z5-2.txt,Inpatient,（悪性新生物＜腫瘍＞）（再掲）,2020,89.0
Z5-2.txt,Outpatient,（悪性新生物＜腫瘍＞）（再掲）,2020,144.0
Z5-2.txt,Total,（悪性新生物＜腫瘍＞）（再掲）,2023,235.0
