age,rate_per_100k
40,21.332620073498845
41,23.597398663075857
42,26.13057760773127
43,28.967270026193162
44,32.14759616166063
45,35.71745373885656
46,39.693834748971184
47,44.1638831858391
48,49.19545870378555
49,54.86662432243194
50,61.267306939775764
51,68.30731644992397
52,76.15626854917106
53,84.90711596883287
54,94.66349230976476
55,105.54093934329713
56,117.3662039535745
57,130.51642250090384
58,145.14004857115972
59,161.40216913387067
60,179.48636821866842
61,198.8963882223069
62,220.40544716846065
63,244.24053938693314
64,270.65320683488204
65,299.92219372704403
66,330.9388895100584
67,365.16320192637767
68,402.9268492395529
69,444.59585462514804
70,490.5740938409083
71,539.0548706604088
72,592.3267396931576
73,650.8631785956964
74,715.1844562532198
75,785.8622569029061
76,861.042890680073
77,943.4157870267794
78,1033.6690040009355
79,1132.5564237160227
80,1240.9040494932613
81,1357.6929043814446
82,1485.4734524885073
83,1625.2801873877738
84,1778.2449649908312
85,1945.6061668958193
