age,rate_per_100k
40,15.043852366791297
41,16.500402928584794
42,18.117463797287492
43,19.90919513494018
44,21.890189949425746
45,24.075258288218343
46,26.464648620331104
47,29.08432817706006
48,31.96332426877869
49,35.12730609046406
50,38.60448377637727
51,42.3772056704614
52,46.51862645901982
53,51.064778184329455
54,56.05521421213758
55,61.53335336200278
56,67.42799093457836
57,73.88731010198923
58,80.96540499633764
59,88.7215517410545
60,97.22070486396835
61,106.3714016962984
62,116.3833888539185
63,127.33773349903836
64,139.32313307206277
65,152.43663347567215
66,166.62828259474085
67,182.14115549136662
68,199.09825635313396
69,217.63404089493199
70,237.89548248101158
71,260.01984133456136
72,284.20177290691885
73,310.6326321440614
74,339.52157006547156
75,371.09718880488424
76,405.92011770077664
77,444.01075223678316
78,485.67572659012654
79,531.2504488023209
80,581.1018008541434
81,635.9002759450351
82,695.866301485561
83,761.4871825988149
84,833.296177763413
85,911.8768322604117
