disease_id,sex,section,issue_year,issue_age,age,rate_per_100k,year_lookup
cancer,total,total,2024,40,40,27.865938312627808,2024
cancer,total,total,2024,40,41,,2025
cancer,total,total,2024,40,42,,2026
cancer,total,total,2024,40,43,,2027
cancer,total,total,2024,40,44,,2028
cancer,total,total,2024,40,45,43.08603974399845,2029
cancer,total,total,2024,40,46,,2030
cancer,total,total,2024,40,47,,2031
cancer,total,total,2024,40,48,,2032
cancer,total,total,2024,40,49,,2033
cancer,total,total,2024,40,50,67.82634223174334,2034
cancer,total,total,2024,40,51,,2035
cancer,total,total,2024,40,52,,2036
cancer,total,total,2024,40,53,,2037
cancer,total,total,2024,40,54,,2038
cancer,total,total,2024,40,55,107.115568483732,2039
cancer,total,total,2024,40,56,,2040
cancer,total,total,2024,40,57,,2041
cancer,total,total,2024,40,58,,2042
cancer,total,total,2024,40,59,,2043
cancer,total,total,2024,40,60,167.24813495063344,2044
cancer,total,total,2024,40,61,,2045
cancer,total,total,2024,40,62,,2046
cancer,total,total,2024,40,63,,2047
cancer,total,total,2024,40,64,,2048
cancer,total,total,2024,40,65,257.59115427650505,2049
cancer,total,total,2024,40,66,,2050
cancer,total,total,2024,40,67,,2051
cancer,total,total,2024,40,68,,2052
cancer,total,total,2024,40,69,,2053
cancer,total,total,2024,40,70,,2054
cancer,total,total,2024,40,71,,2055
cancer,total,total,2024,40,72,,2056
cancer,total,total,2024,40,73,,2057
cancer,total,total,2024,40,74,,2058
cancer,total,total,2024,40,75,,2059
cancer,total,total,2024,40,76,,2060
cancer,total,total,2024,40,77,,2061
cancer,total,total,2024,40,78,,2062
cancer,total,total,2024,40,79,,2063
cancer,total,total,2024,40,80,,2064
cancer,total,total,2024,40,81,,2065
cancer,total,total,2024,40,82,,2066
cancer,total,total,2024,40,83,,2067
cancer,total,total,2024,40,84,,2068
cancer,total,total,2024,40,85,,2069
cancer,total,total,2024,40,86,,2070
cancer,total,total,2024,40,87,,2071
cancer,total,total,2024,40,88,,2072
cancer,total,total,2024,40,89,,2073
cerebrovascular,total,total,2024,40,40,7.373197897402903,2024
cerebrovascular,total,total,2024,40,41,,2025
cerebrovascular,total,total,2024,40,42,,2026
cerebrovascular,total,total,2024,40,43,,2027
cerebrovascular,total,total,2024,40,44,,2028
cerebrovascular,total,total,2024,40,45,11.065785291920287,2029
cerebrovascular,total,total,2024,40,46,,2030
cerebrovascular,total,total,2024,40,47,,2031
cerebrovascular,total,total,2024,40,48,,2032
cerebrovascular,total,total,2024,40,49,,2033
cerebrovascular,total,total,2024,40,50,16.25124723972919,2034
cerebrovascular,total,total,2024,40,51,,2035
cerebrovascular,total,total,2024,40,52,,2036
cerebrovascular,total,total,2024,40,53,,2037
cerebrovascular,total,total,2024,40,54,,2038
cerebrovascular,total,total,2024,40,55,23.709110495325156,2039
cerebrovascular,total,total,2024,40,56,,2040
cerebrovascular,total,total,2024,40,57,,2041
cerebrovascular,total,total,2024,40,58,,2042
cerebrovascular,total,total,2024,40,59,,2043
cerebrovascular,total,total,2024,40,60,34.784173975296945,2044
cerebrovascular,total,total,2024,40,61,,2045
cerebrovascular,total,total,2024,40,62,,2046
cerebrovascular,total,total,2024,40,63,,2047
cerebrovascular,total,total,2024,40,64,,2048
cerebrovascular,total,total,2024,40,65,51.524905955588935,2049
cerebrovascular,total,total,2024,40,66,,2050
cerebrovascular,total,total,2024,40,67,,2051
cerebrovascular,total,total,2024,40,68,,2052
cerebrovascular,total,total,2024,40,69,,2053
cerebrovascular,total,total,2024,40,70,,2054
cerebrovascular,total,total,2024,40,71,,2055
cerebrovascular,total,total,2024,40,72,,2056
cerebrovascular,total,total,2024,40,73,,2057
cerebrovascular,total,total,2024,40,74,,2058
cerebrovascular,total,total,2024,40,75,,2059
cerebrovascular,total,total,2024,40,76,,2060
cerebrovascular,total,total,2024,40,77,,2061
cerebrovascular,total,total,2024,40,78,,2062
cerebrovascular,total,total,2024,40,79,,2063
cerebrovascular,total,total,2024,40,80,,2064
cerebrovascular,total,total,2024,40,81,,2065
cerebrovascular,total,total,2024,40,82,,2066
cerebrovascular,total,total,2024,40,83,,2067
cerebrovascular,total,total,2024,40,84,,2068
cerebrovascular,total,total,2024,40,85,,2069
cerebrovascular,total,total,2024,40,86,,2070
cerebrovascular,total,total,2024,40,87,,2071
cerebrovascular,total,total,2024,40,88,,2072
cerebrovascular,total,total,2024,40,89,,2073
heart_disease,total,total,2024,40,40,9.800023013634561,2024
heart_disease,total,total,2024,40,41,,2025
heart_disease,total,total,2024,40,42,,2026
heart_disease,total,total,2024,40,43,,2027
heart_disease,total,total,2024,40,44,,2028
heart_disease,total,total,2024,40,45,15.680862096895137,2029
heart_disease,total,total,2024,40,46,,2030
