disease_id,sex,section,issue_year,issue_age,age,rate_per_100k,year_lookup
cancer,female,total,2024,40,40,34.56563740479229,2024
cancer,female,total,2024,40,41,37.083995243554234,2025
cancer,female,total,2024,40,42,39.83146134658596,2026
cancer,female,total,2024,40,43,42.8261454743636,2027
cancer,female,total,2024,40,44,46.08717088282611,2028
cancer,female,total,2024,40,45,49.63462620415238,2029
cancer,female,total,2024,40,46,53.42641860515414,2030
cancer,female,total,2024,40,47,57.53373376006596,2031
cancer,female,total,2024,40,48,61.978448827415455,2032
cancer,female,total,2024,40,49,66.7831594392885,2033
cancer,female,total,2024,40,50,71.97104602797945,2034
cancer,female,total,2024,40,51,77.4375525541004,2035
cancer,female,total,2024,40,52,83.31926346100124,2036
cancer,female,total,2024,40,53,89.64771528430921,2037
cancer,female,total,2024,40,54,96.45683989343328,2038
cancer,female,total,2024,40,55,103.78314642733412,2039
cancer,female,total,2024,40,56,111.44072916020066,2040
cancer,female,total,2024,40,57,119.66332244949473,2041
cancer,female,total,2024,40,58,128.49261529029613,2042
cancer,female,total,2024,40,59,137.97337267740005,2043
cancer,female,total,2024,40,60,148.15366256627513,2044
cancer,female,total,2024,40,61,158.79850580521327,2045
cancer,female,total,2024,40,62,170.20818121649742,2046
cancer,female,total,2024,40,63,182.43764200504813,2047
cancer,female,total,2024,40,64,195.54578976451734,2048
cancer,female,total,2024,40,65,209.59575816908833,2049
cancer,female,total,2024,40,66,224.30436619176504,2050
cancer,female,total,2024,40,67,240.04516662069366,2051
cancer,female,total,2024,40,68,256.89059466944997,2052
cancer,female,total,2024,40,69,274.9181687707207,2053
cancer,female,total,2024,40,70,294.2108472966785,2054
cancer,female,total,2024,40,71,314.47681395053513,2055
cancer,female,total,2024,40,72,336.13875022342154,2056
cancer,female,total,2024,40,73,359.2928139355168,2057
cancer,female,total,2024,40,74,384.04178649411534,2058
cancer,female,total,2024,40,75,410.495529142594,2059
cancer,female,total,2024,40,76,438.4685260029889,2060
cancer,female,total,2024,40,77,468.3477276763474,2061
cancer,female,total,2024,40,78,500.2630314635237,2062
cancer,female,total,2024,40,79,534.3531864470142,2063
cancer,female,total,2024,40,80,570.7663966908506,2064
cancer,female,total,2024,40,81,609.5103101578035,2065
cancer,female,total,2024,40,82,650.8841801874366,2066
cancer,female,total,2024,40,83,695.0665295695942,2067
cancer,female,total,2024,40,84,742.2479993119438,2068
cancer,female,total,2024,40,85,792.6321712307702,2069
cerebrovascular,female,total,2024,40,40,4.398810811949792,2024
cerebrovascular,female,total,2024,40,41,4.772651571330057,2025
cerebrovascular,female,total,2024,40,42,5.174311087190354,2026
cerebrovascular,female,total,2024,40,43,5.6056266922632565,2027
cerebrovascular,female,total,2024,40,44,6.068552705819714,2028
cerebrovascular,female,total,2024,40,45,6.565168956344663,2029
cerebrovascular,female,total,2024,40,46,7.098345796077713,2030
cerebrovascular,female,total,2024,40,47,7.669782805498803,2031
cerebrovascular,female,total,2024,40,48,8.282024877979136,2032
cerebrovascular,female,total,2024,40,49,8.937796235456316,2033
cerebrovascular,female,total,2024,40,50,9.64001573303145,2034
cerebrovascular,female,total,2024,40,51,10.403316277873738,2035
cerebrovascular,female,total,2024,40,52,11.227055284425182,2036
cerebrovascular,female,total,2024,40,53,12.116018295783393,2037
cerebrovascular,female,total,2024,40,54,13.075369776383349,2038
cerebrovascular,female,total,2024,40,55,14.110683115149987,2039
cerebrovascular,female,total,2024,40,56,15.264970936671629,2040
