disease_id,sex,section,issue_year,issue_age,age,rate_per_100k,year_lookup
cancer,male,total,2024,40,40,21.803748289777392,2024
cancer,male,total,2024,40,41,24.09150657953934,2025
cancer,male,total,2024,40,42,26.64747595190035,2026
cancer,male,total,2024,40,43,29.506402824177083,2027
cancer,male,total,2024,40,44,32.70794401307171,2028
cancer,male,total,2024,40,45,36.29741588839002,2029
cancer,male,total,2024,40,46,40.2909644248046,2030
cancer,male,total,2024,40,47,44.77478220921869,2031
cancer,male,total,2024,40,48,49.81557324021872,2032
cancer,male,total,2024,40,49,55.48997652036518,2033
cancer,male,total,2024,40,50,61.8861686260361,2034
cancer,male,total,2024,40,51,68.99728934335752,2035
cancer,male,total,2024,40,52,76.92552378704144,2036
cancer,male,total,2024,40,53,85.76476360488167,2037
cancer,male,total,2024,40,54,95.61968920178256,2038
cancer,male,total,2024,40,55,106.60700943767392,2039
cancer,male,total,2024,40,56,118.55172116522672,2040
cancer,male,total,2024,40,57,131.83477020293316,2041
cancer,male,total,2024,40,58,146.60610966783807,2042
cancer,male,total,2024,40,59,163.03249407461678,2043
cancer,male,total,2024,40,60,181.29936183703873,2044
cancer,male,total,2024,40,61,200.9054426487948,2045
cancer,male,total,2024,40,62,222.63176481662686,2046
cancer,male,total,2024,40,63,246.70761554235662,2047
cancer,male,total,2024,40,64,273.38707761099187,2048
cancer,male,total,2024,40,65,302.95171083539793,2049
cancer,male,total,2024,40,66,334.28170657581677,2050
cancer,male,total,2024,40,67,368.8517191175531,2051
cancer,male,total,2024,40,68,406.99681741368966,2052
cancer,male,total,2024,40,69,449.0867218435837,2053
cancer,male,total,2024,40,70,495.529387718089,2054
cancer,male,total,2024,40,71,544.4998693539486,2055
cancer,male,total,2024,40,72,598.3098380738965,2056
cancer,male,total,2024,40,73,657.4375541370669,2057
cancer,male,total,2024,40,74,722.4085416699188,2058
cancer,male,total,2024,40,75,793.8002594978853,2059
cancer,male,total,2024,40,76,869.7402936162351,2060
cancer,male,total,2024,40,77,952.945239420989,2061
cancer,male,total,2024,40,78,1044.1101050514496,2062
cancer,male,total,2024,40,79,1143.9963875919418,2063
cancer,male,total,2024,40,80,1253.4384338315767,2064
cancer,male,total,2024,40,81,1371.4069741226722,2065
